[1948, 1214]
[folio, [160.0, 174.0, 160.0, 36.0], nfgHlJpD1T, 5731965]
[paragraph, [162.0, 251.0, 697.0, 36.0], A3e_Qh6hVh, 5731965]
[paragraph, [162.0, 287.0, 697.0, 36.0], A3e_Qh6hVh, 5731965]
[paragraph, [162.0, 323.0, 697.0, 36.0], A3e_Qh6hVh, 5731965]
[paragraph, [156.0, 357.0, 734.0, 36.0], sxOLj_AtV1, 5731965]
[paragraph, [156.0, 393.0, 734.0, 36.0], sxOLj_AtV1, 5731965]
[paragraph, [151.0, 563.0, 675.0, 36.0], fSEF0Q77Hd, 5731965]
[paragraph, [151.0, 599.0, 675.0, 36.0], fSEF0Q77Hd, 5731965]
[paragraph, [151.0, 635.0, 675.0, 36.0], fSEF0Q77Hd, 5731965]
[paragraph, [151.0, 671.0, 675.0, 36.0], fSEF0Q77Hd, 5731965]
[paragraph, [151.0, 707.0, 675.0, 36.0], fSEF0Q77Hd, 5731965]
[paragraph, [151.0, 743.0, 675.0, 36.0], fSEF0Q77Hd, 5731965]
[paragraph, [153.0, 900.0, 640.0, 36.0], shoonya_1s6CIKIAM3M01Q, 5731965]
[paragraph, [153.0, 936.0, 640.0, 36.0], shoonya_1s6CIKIAM3M01Q, 5731965]
[paragraph, [153.0, 972.0, 640.0, 36.0], shoonya_1s6CIKIAM3M01Q, 5731965]
[paragraph, [153.0, 1008.0, 640.0, 36.0], shoonya_1s6CIKIAM3M01Q, 5731965]
[paragraph, [145.0, 1174.0, 692.0, 36.0], shoonya_3sWKUFD4VJ6YVE, 5731965]
[paragraph, [145.0, 1210.0, 692.0, 36.0], shoonya_3sWKUFD4VJ6YVE, 5731965]
[paragraph, [145.0, 1246.0, 692.0, 36.0], shoonya_3sWKUFD4VJ6YVE, 5731965]
[paragraph, [145.0, 1282.0, 692.0, 36.0], shoonya_3sWKUFD4VJ6YVE, 5731965]
[footnote, [139.0, 1341.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1377.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1413.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1449.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1485.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1521.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1557.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1593.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1629.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1665.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1701.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[footnote, [139.0, 1737.0, 924.0, 36.0], shoonya_2sQVSE7ZB064EF, 5731965]
[folio, [494.0, 1852.0, 206.0, 36.0], 1osYHeYZa-, 5731965]
