[1448, 2048]
[section-title, [778.0, 516.0, 496.0, 30.0], vb9IUB-w1X, 6474050]
[section-title, [778.0, 546.0, 496.0, 30.0], vb9IUB-w1X, 6474050]
[section-title, [778.0, 576.0, 496.0, 30.0], vb9IUB-w1X, 6474050]
[unordered-list, [130.0, 649.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 667.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 685.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 703.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 721.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 739.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 757.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 775.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 793.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 811.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 829.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 847.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 865.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[unordered-list, [130.0, 883.0, 1789.0, 18.0], a3n8Z4vU19, 6474050]
[folio, [499.0, 1284.0, 798.0, 18.0], KtH6N519mH, 6474050]
[folio, [499.0, 1302.0, 798.0, 18.0], KtH6N519mH, 6474050]
[folio, [499.0, 1320.0, 798.0, 18.0], KtH6N519mH, 6474050]
[folio, [1388.0, 1301.0, 158.0, 18.0], tpCCtPobwF, 6474050]
[folio, [1388.0, 1319.0, 158.0, 18.0], tpCCtPobwF, 6474050]
