[1951, 1219]
[folio, [780.0, 120.0, 215.0, 36.0], shoonya_0sUZ9MEEVI25CH, 5681955]
[paragraph, [135.0, 214.0, 959.0, 36.0], ijyPykq3ie, 5681955]
[paragraph, [135.0, 250.0, 959.0, 36.0], ijyPykq3ie, 5681955]
[paragraph, [135.0, 286.0, 959.0, 36.0], ijyPykq3ie, 5681955]
[paragraph, [135.0, 322.0, 959.0, 36.0], ijyPykq3ie, 5681955]
[paragraph, [135.0, 358.0, 959.0, 36.0], ijyPykq3ie, 5681955]
[paragraph, [135.0, 394.0, 959.0, 36.0], ijyPykq3ie, 5681955]
[paragraph, [140.0, 449.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 485.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 521.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 557.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 593.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 629.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 665.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 701.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 737.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 773.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 809.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [140.0, 845.0, 952.0, 36.0], Irt7tiN73m, 5681955]
[paragraph, [143.0, 916.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 952.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 988.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1024.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1060.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1096.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1132.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1168.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1204.0, 955.0, 36.0], siC8xELr75, 5681955]
[paragraph, [143.0, 1260.0, 955.0, 36.0], dyNCpsIhqE, 5681955]
[paragraph, [143.0, 1296.0, 955.0, 36.0], dyNCpsIhqE, 5681955]
[paragraph, [143.0, 1332.0, 955.0, 36.0], dyNCpsIhqE, 5681955]
[paragraph, [143.0, 1368.0, 955.0, 36.0], dyNCpsIhqE, 5681955]
[paragraph, [227.0, 1432.0, 205.0, 36.0], cmNzirM64c, 5681955]
[paragraph, [144.0, 1492.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1528.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1564.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1600.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1636.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1672.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1708.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1744.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
[paragraph, [144.0, 1780.0, 958.0, 36.0], yB2CI-X-2_, 5681955]
