[1545, 2000]
[section-title, [789.0, 189.0, 429.0, 49.5], lXFzNUffHO, 6532498]
[section-title, [789.0, 238.5, 429.0, 49.5], lXFzNUffHO, 6532498]
[section-title, [789.0, 288.0, 429.0, 49.5], lXFzNUffHO, 6532498]
[section-title, [106.0, 403.0, 458.0, 49.5], shoonya_6sP1JKBOWSD83Y, 6532498]
[section-title, [106.0, 452.5, 458.0, 49.5], shoonya_6sP1JKBOWSD83Y, 6532498]
[paragraph, [1468.0, 484.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 520.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 556.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 592.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 628.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 664.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 700.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[paragraph, [1468.0, 736.0, 429.0, 36.0], 0_IRH4OlCX, 6532498]
[ordered-list, [691.0, 496.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 532.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 568.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 604.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 640.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 676.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 712.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 748.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 784.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 820.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 856.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 892.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 928.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 964.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1000.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1036.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1072.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1108.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1144.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1180.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1216.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1252.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[ordered-list, [691.0, 1288.0, 636.0, 36.0], N_htcqfgv1, 6532498]
[paragraph, [136.0, 707.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [136.0, 743.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [136.0, 779.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [136.0, 815.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [136.0, 851.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [136.0, 887.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [136.0, 923.0, 436.0, 36.0], ZWDHj12-Y3, 6532498]
[paragraph, [130.0, 1185.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
[paragraph, [130.0, 1221.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
[paragraph, [130.0, 1257.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
[paragraph, [130.0, 1293.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
[paragraph, [130.0, 1329.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
[paragraph, [130.0, 1365.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
[paragraph, [130.0, 1401.0, 442.0, 36.0], 8qHLpyzzhE, 6532498]
