[1650, 1275]
[paragraph, [215.0, 141.0, 925.0, 36.0], NhAHlpO7PI, 6475413]
[paragraph, [215.0, 177.0, 925.0, 36.0], NhAHlpO7PI, 6475413]
[ordered-list, [216.0, 224.0, 927.0, 36.0], NeaMqksRwZ, 6475413]
[ordered-list, [216.0, 260.0, 927.0, 36.0], NeaMqksRwZ, 6475413]
[ordered-list, [101.0, 309.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 345.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 381.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 417.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 453.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 489.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 525.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 561.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 597.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 633.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 669.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 705.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 741.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 777.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 813.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 849.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 885.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 921.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 957.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 993.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1029.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1065.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1101.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1137.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1173.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1209.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1245.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1281.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1317.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1353.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
[ordered-list, [101.0, 1389.0, 1044.0, 36.0], klBtTNVqwF, 6475413]
