[1755, 1241]
[folio, [524.0, 203.0, 525.0, 36.0], BfZp9P3bnc, 5760103]
[reference, [187.0, 281.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 317.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 353.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 389.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 425.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 461.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 497.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 533.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 569.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 605.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 641.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 677.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 713.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 749.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 785.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 821.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 857.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 893.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 929.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 965.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1001.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1037.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1073.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1109.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1145.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1181.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1217.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1253.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1289.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1325.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1361.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1397.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1433.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1469.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1505.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1541.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
[reference, [187.0, 1577.0, 878.0, 36.0], shoonya_0sWRJOWNCAHW36, 5760103]
