[2175, 1462]
[folio, [169.0, 144.0, 175.0, 36.0], 9b_wI54FHg, 5655259]
[paragraph, [166.0, 250.0, 1160.0, 36.0], shoonya_2s1OZBPBTZTVXQ, 5655259]
[paragraph, [166.0, 286.0, 1160.0, 36.0], shoonya_2s1OZBPBTZTVXQ, 5655259]
[paragraph, [166.0, 322.0, 1160.0, 36.0], shoonya_2s1OZBPBTZTVXQ, 5655259]
[paragraph, [166.0, 358.0, 1160.0, 36.0], shoonya_2s1OZBPBTZTVXQ, 5655259]
[paragraph, [166.0, 394.0, 1160.0, 36.0], shoonya_2s1OZBPBTZTVXQ, 5655259]
[paragraph, [171.0, 504.0, 1158.0, 36.0], shoonya_1s9OOMSZ5730F9, 5655259]
[paragraph, [171.0, 540.0, 1158.0, 36.0], shoonya_1s9OOMSZ5730F9, 5655259]
[paragraph, [171.0, 576.0, 1158.0, 36.0], shoonya_1s9OOMSZ5730F9, 5655259]
[paragraph, [171.0, 612.0, 1158.0, 36.0], shoonya_1s9OOMSZ5730F9, 5655259]
[paragraph, [171.0, 648.0, 1158.0, 36.0], shoonya_1s9OOMSZ5730F9, 5655259]
[paragraph, [170.0, 757.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 793.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 829.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 865.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 901.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 937.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 973.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 1009.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 1045.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [170.0, 1081.0, 1164.0, 36.0], shoonya_0sYT9PHFFETCBJ, 5655259]
[paragraph, [172.0, 1157.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [172.0, 1193.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [172.0, 1229.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [172.0, 1265.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [172.0, 1301.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [172.0, 1337.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [172.0, 1373.0, 1160.0, 36.0], shoonya_5sQCZ17P6IX7N8, 5655259]
[paragraph, [174.0, 1490.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[paragraph, [174.0, 1526.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[paragraph, [174.0, 1562.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[paragraph, [174.0, 1598.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[paragraph, [174.0, 1634.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[paragraph, [174.0, 1670.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[paragraph, [174.0, 1706.0, 1158.0, 36.0], shoonya_3s2LIZKRZ3XZPI, 5655259]
[reference, [169.0, 1815.0, 853.0, 36.0], shoonya_4s1CMGWCTAIEAH, 5655259]
[reference, [169.0, 1851.0, 853.0, 36.0], shoonya_4s1CMGWCTAIEAH, 5655259]
[reference, [169.0, 1887.0, 853.0, 36.0], shoonya_4s1CMGWCTAIEAH, 5655259]
[reference, [169.0, 1923.0, 853.0, 36.0], shoonya_4s1CMGWCTAIEAH, 5655259]
[reference, [169.0, 1959.0, 853.0, 36.0], shoonya_4s1CMGWCTAIEAH, 5655259]
