[720, 540]
[headline, [118.0, 150.0, 339.0, 25.5], shoonya_3s6UM00MHJ0KT3, 5746898]
[headline, [118.0, 175.5, 339.0, 25.5], shoonya_3s6UM00MHJ0KT3, 5746898]
[folio, [210.0, 236.0, 136.0, 18.0], shoonya_2s0QAWQC6R9STU, 5746898]
[contact-info, [135.0, 358.0, 334.0, 18.0], pb-DnBcTbv, 5746898]
[contact-info, [135.0, 376.0, 334.0, 18.0], pb-DnBcTbv, 5746898]
[contact-info, [52.0, 503.0, 171.0, 18.0], Hiyss3gLQ7, 5746898]
[contact-info, [52.0, 521.0, 171.0, 18.0], Hiyss3gLQ7, 5746898]
[contact-info, [52.0, 539.0, 171.0, 18.0], Hiyss3gLQ7, 5746898]
[contact-info, [52.0, 557.0, 171.0, 18.0], Hiyss3gLQ7, 5746898]
[contact-info, [52.0, 575.0, 171.0, 18.0], Hiyss3gLQ7, 5746898]
[contact-info, [52.0, 593.0, 171.0, 18.0], Hiyss3gLQ7, 5746898]
[contact-info, [244.0, 507.0, 231.0, 18.0], q17KRvuP7z, 5746898]
[contact-info, [244.0, 525.0, 231.0, 18.0], q17KRvuP7z, 5746898]
[contact-info, [244.0, 543.0, 231.0, 18.0], q17KRvuP7z, 5746898]
[contact-info, [244.0, 561.0, 231.0, 18.0], q17KRvuP7z, 5746898]
[contact-info, [244.0, 579.0, 231.0, 18.0], q17KRvuP7z, 5746898]
[contact-info, [244.0, 597.0, 231.0, 18.0], q17KRvuP7z, 5746898]
