[1755, 1240]
[folio, [626.0, 77.0, 499.0, 36.0], IG0VYC2nyo, 5743570]
[paragraph, [199.0, 209.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 245.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 281.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 317.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 353.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 389.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 425.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 461.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 497.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 533.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 569.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 605.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 641.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 677.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 713.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 749.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [199.0, 785.0, 928.0, 36.0], m9Rkn3cjPo, 5743570]
[paragraph, [198.0, 835.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 871.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 907.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 943.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 979.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1015.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1051.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1087.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1123.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1159.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1195.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1231.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [198.0, 1267.0, 932.0, 36.0], shoonya_3sKF8AP5D2RR0G, 5743570]
[paragraph, [201.0, 1350.0, 929.0, 36.0], shoonya_4sIWH46XCR8IJQ, 5743570]
[paragraph, [201.0, 1386.0, 929.0, 36.0], shoonya_4sIWH46XCR8IJQ, 5743570]
[paragraph, [201.0, 1422.0, 929.0, 36.0], shoonya_4sIWH46XCR8IJQ, 5743570]
[paragraph, [201.0, 1458.0, 929.0, 36.0], shoonya_4sIWH46XCR8IJQ, 5743570]
[paragraph, [201.0, 1494.0, 929.0, 36.0], shoonya_4sIWH46XCR8IJQ, 5743570]
[paragraph, [201.0, 1530.0, 929.0, 36.0], shoonya_4sIWH46XCR8IJQ, 5743570]
