[1650, 1275]
[paragraph, [80.0, 85.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 121.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 157.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 193.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 229.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 265.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 301.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 337.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 373.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [80.0, 409.0, 862.0, 36.0], shoonya_0sSP2HRZQI7AVW, 6468797]
[paragraph, [79.0, 465.0, 864.0, 36.0], 5eY7k-0nnh, 6468797]
[paragraph, [79.0, 501.0, 864.0, 36.0], 5eY7k-0nnh, 6468797]
[paragraph, [79.0, 537.0, 864.0, 36.0], 5eY7k-0nnh, 6468797]
[paragraph, [79.0, 573.0, 864.0, 36.0], 5eY7k-0nnh, 6468797]
[paragraph, [79.0, 609.0, 864.0, 36.0], 5eY7k-0nnh, 6468797]
[paragraph, [77.0, 670.0, 859.0, 36.0], jF5yFmUIwK, 6468797]
[paragraph, [77.0, 706.0, 859.0, 36.0], jF5yFmUIwK, 6468797]
[paragraph, [77.0, 742.0, 859.0, 36.0], jF5yFmUIwK, 6468797]
[paragraph, [77.0, 778.0, 859.0, 36.0], jF5yFmUIwK, 6468797]
[paragraph, [85.0, 823.0, 853.0, 36.0], Qph9qZg9qU, 6468797]
[paragraph, [85.0, 859.0, 853.0, 36.0], Qph9qZg9qU, 6468797]
[paragraph, [143.0, 923.0, 732.0, 36.0], j6xvzXDRca, 6468797]
[paragraph, [159.0, 981.0, 136.0, 36.0], pu95hlke6N, 6468797]
[paragraph, [82.0, 1025.0, 856.0, 36.0], fAwM-sWxw_, 6468797]
[paragraph, [82.0, 1061.0, 856.0, 36.0], fAwM-sWxw_, 6468797]
[paragraph, [82.0, 1097.0, 856.0, 36.0], fAwM-sWxw_, 6468797]
[paragraph, [82.0, 1133.0, 856.0, 36.0], fAwM-sWxw_, 6468797]
[paragraph, [73.0, 1176.0, 867.0, 36.0], 4erYqnfUgU, 6468797]
[paragraph, [73.0, 1212.0, 867.0, 36.0], 4erYqnfUgU, 6468797]
[paragraph, [84.0, 1282.0, 856.0, 36.0], jg5CsZItju, 6468797]
[paragraph, [84.0, 1318.0, 856.0, 36.0], jg5CsZItju, 6468797]
[paragraph, [84.0, 1354.0, 856.0, 36.0], jg5CsZItju, 6468797]
[paragraph, [84.0, 1390.0, 856.0, 36.0], jg5CsZItju, 6468797]
[paragraph, [84.0, 1426.0, 856.0, 36.0], jg5CsZItju, 6468797]
[folio, [776.0, 1519.0, 116.0, 36.0], qR5MvVV4R4, 6468797]
