[1320, 1176]
[folio, [927.0, 54.0, 180.0, 18.0], shoonya_5s53ZINAZYWOFM, 5694495]
[folio, [927.0, 72.0, 180.0, 18.0], shoonya_5s53ZINAZYWOFM, 5694495]
[folio, [927.0, 90.0, 180.0, 18.0], shoonya_5s53ZINAZYWOFM, 5694495]
[folio, [927.0, 108.0, 180.0, 18.0], shoonya_5s53ZINAZYWOFM, 5694495]
[folio, [927.0, 126.0, 180.0, 18.0], shoonya_5s53ZINAZYWOFM, 5694495]
[folio, [142.0, 171.0, 144.0, 18.0], shoonya_6s6SZ617U52D60, 5694495]
[folio, [142.0, 189.0, 144.0, 18.0], shoonya_6s6SZ617U52D60, 5694495]
[headline, [396.0, 239.0, 358.0, 25.5], shoonya_0sH69GF1MWUX90, 5694495]
[sub-headline, [69.0, 283.0, 1005.0, 25.5], z_LXZeHW0O, 5694495]
[paragraph, [65.0, 344.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 362.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 380.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 398.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 416.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 434.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 452.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 470.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 488.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 506.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 524.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 542.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 560.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 578.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 596.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 614.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 632.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 650.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [65.0, 668.0, 342.0, 18.0], JJXYDoJ_-t, 5694495]
[paragraph, [769.0, 351.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 369.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 387.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 405.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 423.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 441.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 459.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 477.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 495.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 513.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 531.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 549.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 567.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 585.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 603.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 621.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 639.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 657.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 675.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [769.0, 693.0, 328.0, 18.0], shoonya_1sW3JPJ7R5LYUO, 5694495]
[paragraph, [416.0, 354.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 372.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 390.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 408.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 426.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 444.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 462.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 480.0, 341.0, 18.0], txt2kvLvCI, 5694495]
[paragraph, [416.0, 498.0, 341.0, 18.0], txt2kvLvCI, 5694495]
