[842, 595]
[chapter-title, [149.0, 186.0, 290.0, 30.0], N22pfKQTSW, 6513505]
[paragraph, [130.0, 247.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 265.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 283.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 301.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 319.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 337.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 355.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 373.0, 322.0, 18.0], shoonya_0sXLFXCIP0LNR8, 6513505]
[paragraph, [130.0, 408.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 426.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 444.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 462.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 480.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 498.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 516.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 534.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 552.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [130.0, 570.0, 323.0, 18.0], shoonya_1sJ4CMOI4EMYBM, 6513505]
[paragraph, [129.0, 606.0, 324.0, 18.0], shoonya_2sJH0SV0GSSG49, 6513505]
[paragraph, [129.0, 624.0, 324.0, 18.0], shoonya_2sJH0SV0GSSG49, 6513505]
[paragraph, [129.0, 642.0, 324.0, 18.0], shoonya_2sJH0SV0GSSG49, 6513505]
