[2339, 1653]
[paragraph, [611.0, 399.0, 804.0, 36.0], shoonya_2sWRMF6RTKHKTQ, 5735554]
[paragraph, [611.0, 435.0, 804.0, 36.0], shoonya_2sWRMF6RTKHKTQ, 5735554]
[paragraph, [611.0, 471.0, 804.0, 36.0], shoonya_2sWRMF6RTKHKTQ, 5735554]
[paragraph, [612.0, 536.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 572.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 608.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 644.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 680.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 716.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 752.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 788.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 824.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 860.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 896.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 932.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 968.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 1004.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 1040.0, 802.0, 36.0], shoonya_1sLG3K1J3XESQZ, 5735554]
[paragraph, [612.0, 1158.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1194.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1230.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1266.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1302.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1338.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1374.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1410.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1446.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1482.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1518.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1554.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1590.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1626.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1662.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1698.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [612.0, 1734.0, 801.0, 36.0], shoonya_0sFA4K6LIN6SOQ, 5735554]
[paragraph, [611.0, 1780.0, 808.0, 36.0], shoonya_4s4O6UX3Y55LXP, 5735554]
[paragraph, [611.0, 1816.0, 808.0, 36.0], shoonya_4s4O6UX3Y55LXP, 5735554]
[paragraph, [611.0, 1852.0, 808.0, 36.0], shoonya_4s4O6UX3Y55LXP, 5735554]
[paragraph, [611.0, 1888.0, 808.0, 36.0], shoonya_4s4O6UX3Y55LXP, 5735554]
[folio, [236.0, 1962.0, 233.0, 36.0], shoonya_5sRI80K6AGZ5ZJ, 5735554]
[folio, [1145.0, 1965.0, 167.0, 36.0], y3iy9R37Ya, 5735554]
