[1074, 720]
[paragraph, [66.0, 110.0, 591.0, 18.0], shoonya_2sSRFP3MXJB48G, 5711606]
[paragraph, [66.0, 128.0, 591.0, 18.0], shoonya_2sSRFP3MXJB48G, 5711606]
[paragraph, [66.0, 146.0, 591.0, 18.0], shoonya_2sSRFP3MXJB48G, 5711606]
[paragraph, [62.0, 182.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 200.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 218.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 236.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 254.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 272.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 290.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [62.0, 308.0, 376.0, 18.0], Q9gKU8qfED, 5711606]
[paragraph, [68.0, 337.0, 370.0, 18.0], shoonya_1s4HEFD6STGJNZ, 5711606]
[paragraph, [68.0, 355.0, 370.0, 18.0], shoonya_1s4HEFD6STGJNZ, 5711606]
[paragraph, [68.0, 373.0, 370.0, 18.0], shoonya_1s4HEFD6STGJNZ, 5711606]
[figure-caption, [496.0, 349.0, 71.0, 18.0], shoonya_4sNWEQ8RZ5HCZQ, 5711606]
[paragraph, [62.0, 397.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [62.0, 415.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [62.0, 433.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [62.0, 451.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [62.0, 469.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [62.0, 487.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [62.0, 505.0, 592.0, 18.0], shoonya_3sOXIU65CXID3B, 5711606]
[paragraph, [60.0, 529.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 547.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 565.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 583.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 601.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 619.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 637.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 655.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 673.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 691.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 709.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 727.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 745.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 763.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 781.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 799.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 817.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 835.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 853.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 871.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 889.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [60.0, 907.0, 596.0, 18.0], shoonya_0s4PW4QZSR4K48, 5711606]
[paragraph, [58.0, 934.0, 598.0, 18.0], shoonya_5sCYQV7L4YS2EW, 5711606]
[paragraph, [58.0, 952.0, 598.0, 18.0], shoonya_5sCYQV7L4YS2EW, 5711606]
[paragraph, [58.0, 970.0, 598.0, 18.0], shoonya_5sCYQV7L4YS2EW, 5711606]
