[1650, 1275]
[paragraph, [301.0, 125.0, 215.0, 36.0], MvsuVY4KuA, 5714787]
[paragraph, [301.0, 161.0, 215.0, 36.0], MvsuVY4KuA, 5714787]
[paragraph, [301.0, 197.0, 215.0, 36.0], MvsuVY4KuA, 5714787]
[paragraph, [301.0, 233.0, 215.0, 36.0], MvsuVY4KuA, 5714787]
[paragraph, [301.0, 269.0, 215.0, 36.0], MvsuVY4KuA, 5714787]
[paragraph, [301.0, 305.0, 215.0, 36.0], MvsuVY4KuA, 5714787]
[paragraph, [187.0, 370.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 406.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 442.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 478.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 514.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 550.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 586.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 622.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 658.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 694.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 730.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 766.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 802.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [187.0, 838.0, 901.0, 36.0], shoonya_1sRV9HHPKOYX2A, 5714787]
[paragraph, [180.0, 903.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 939.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 975.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1011.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1047.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1083.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1119.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1155.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1191.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1227.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1263.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
[paragraph, [180.0, 1299.0, 911.0, 36.0], shoonya_0sYRH0KIIS75DA, 5714787]
