[3508, 2481]
[contact-info, [191.0, 107.0, 1994.0, 52.5], shoonya_0sP9C94DCAUJZQ, 6534565]
[contact-info, [191.0, 159.5, 1994.0, 52.5], shoonya_0sP9C94DCAUJZQ, 6534565]
[contact-info, [191.0, 212.0, 1994.0, 52.5], shoonya_0sP9C94DCAUJZQ, 6534565]
[contact-info, [191.0, 264.5, 1994.0, 52.5], shoonya_0sP9C94DCAUJZQ, 6534565]
[contact-info, [191.0, 317.0, 1994.0, 52.5], shoonya_0sP9C94DCAUJZQ, 6534565]
[contact-info, [191.0, 369.5, 1994.0, 52.5], shoonya_0sP9C94DCAUJZQ, 6534565]
[website-link, [1723.0, 407.0, 406.0, 18.0], nW2Bu5y40G, 6534565]
[website-link, [1723.0, 425.0, 406.0, 18.0], nW2Bu5y40G, 6534565]
[website-link, [1723.0, 443.0, 406.0, 18.0], nW2Bu5y40G, 6534565]
[section-title, [861.0, 506.0, 746.0, 93.0], HdQbU7UwPe, 6534565]
[sub-section-title, [202.0, 752.0, 1013.0, 73.5], NTv_l5TxjM, 6534565]
[dateline, [208.0, 1004.0, 457.0, 52.5], _Ih74NpmYI, 6534565]
[paragraph, [226.0, 1275.0, 354.0, 52.5], mBmxrJGurW, 6534565]
[paragraph, [226.0, 1399.0, 2036.0, 52.5], M61N1bilOv, 6534565]
[paragraph, [226.0, 1451.5, 2036.0, 52.5], M61N1bilOv, 6534565]
[paragraph, [226.0, 1504.0, 2036.0, 52.5], M61N1bilOv, 6534565]
[paragraph, [226.0, 1556.5, 2036.0, 52.5], M61N1bilOv, 6534565]
[paragraph, [226.0, 1609.0, 2036.0, 52.5], M61N1bilOv, 6534565]
[paragraph, [226.0, 1661.5, 2036.0, 52.5], M61N1bilOv, 6534565]
[paragraph, [211.0, 1753.0, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 1805.5, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 1858.0, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 1910.5, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 1963.0, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 2015.5, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 2068.0, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 2120.5, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 2173.0, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[paragraph, [211.0, 2225.5, 2067.0, 52.5], RnA7XkXqrU, 6534565]
[author, [1925.0, 2648.0, 340.0, 52.5], 2N4FPTrIfY, 6534565]
[author, [1925.0, 2700.5, 340.0, 52.5], 2N4FPTrIfY, 6534565]
[contact-info, [938.0, 3287.0, 596.0, 52.5], jGoepDKEAK, 6534565]
