[2339, 1653]
[paragraph, [324.0, 161.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 197.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 233.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 269.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 305.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 341.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 377.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 413.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 449.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 485.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 521.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 557.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 593.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 629.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 665.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 701.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 737.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [324.0, 773.0, 1136.0, 36.0], shoonya_1sXMCEBXIRTP30, 5734136]
[paragraph, [323.0, 832.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 868.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 904.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 940.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 976.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1012.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1048.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1084.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1120.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1156.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1192.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1228.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1264.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1300.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1336.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1372.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1408.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1444.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1480.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1516.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1552.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1588.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1624.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1660.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [323.0, 1696.0, 1136.0, 36.0], shoonya_0sBID9UXWC88QE, 5734136]
[paragraph, [324.0, 1775.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 1811.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 1847.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 1883.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 1919.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 1955.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 1991.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 2027.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[paragraph, [324.0, 2063.0, 1140.0, 36.0], shoonya_2s3IP5PM80JBAE, 5734136]
[folio, [804.0, 2151.0, 581.0, 36.0], WGpkLb5dsZ, 5734136]
