[3508, 2481]
[contact-info, [713.0, 353.0, 1057.0, 52.5], NVww-JDOAi, 6490927]
[contact-info, [713.0, 405.5, 1057.0, 52.5], NVww-JDOAi, 6490927]
[headline, [1076.0, 560.0, 331.0, 52.5], oCkZF6MC1F, 6490927]
[headline, [1076.0, 612.5, 331.0, 52.5], oCkZF6MC1F, 6490927]
[sub-headline, [641.0, 805.0, 1197.0, 73.5], Dr8SDfST_F, 6490927]
[dateline, [213.0, 1062.0, 555.0, 52.5], LYKwdqjeUX, 6490927]
[paragraph, [223.0, 1320.0, 465.0, 52.5], mDrKN28WI4, 6490927]
[paragraph, [215.0, 1443.0, 2056.0, 52.5], shoonya_2sCWJF2RP259VX, 6490927]
[paragraph, [215.0, 1495.5, 2056.0, 52.5], shoonya_2sCWJF2RP259VX, 6490927]
[paragraph, [215.0, 1548.0, 2056.0, 52.5], shoonya_2sCWJF2RP259VX, 6490927]
[paragraph, [215.0, 1600.5, 2056.0, 52.5], shoonya_2sCWJF2RP259VX, 6490927]
[paragraph, [215.0, 1653.0, 2056.0, 52.5], shoonya_2sCWJF2RP259VX, 6490927]
[paragraph, [215.0, 1705.5, 2056.0, 52.5], shoonya_2sCWJF2RP259VX, 6490927]
[unordered-list, [283.0, 1843.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 1895.5, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 1948.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2000.5, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2053.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2105.5, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2158.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2210.5, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2263.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2315.5, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2368.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2420.5, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[unordered-list, [283.0, 2473.0, 2005.0, 52.5], shoonya_0sFL6FE6I05EWJ, 6490927]
[contact-info, [213.0, 2909.0, 474.0, 52.5], OWmV47ZT8I, 6490927]
[contact-info, [224.0, 3293.0, 478.0, 52.5], shoonya_5s7XLL01RUF5RC, 6490927]
