[1468, 909]
[folio, [376.0, 81.0, 145.0, 18.0], IxQSE7pO8G, 5770264]
[folio, [376.0, 99.0, 145.0, 18.0], IxQSE7pO8G, 5770264]
[paragraph, [457.0, 147.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 165.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 183.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 201.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 219.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 237.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 255.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 273.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 291.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 309.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 327.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 345.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 363.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [457.0, 381.0, 364.0, 18.0], fvggtyF2pl, 5770264]
[paragraph, [82.0, 149.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 167.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 185.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 203.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 221.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 239.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 257.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 275.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 293.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 311.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 329.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 347.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
[paragraph, [82.0, 365.0, 365.0, 18.0], e9rS7NEcNv, 5770264]
