[709, 510]
[chapter-title, [112.0, 18.0, 292.0, 30.0], KMoZGIzG5r, 5657051]
[ordered-list, [28.0, 49.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 67.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 85.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 103.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 121.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 139.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 157.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 175.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 193.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 211.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 229.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 247.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 265.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 283.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 301.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 319.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 337.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 355.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 373.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 391.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 409.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 427.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[ordered-list, [28.0, 445.0, 385.0, 18.0], shoonya_0sZN8PSZEMXHNJ, 5657051]
[section-title, [64.0, 468.0, 354.0, 30.0], 0xQN13K4fD, 5657051]
[ordered-list, [21.0, 499.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 517.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 535.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 553.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 571.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 589.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 607.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[ordered-list, [21.0, 625.0, 488.0, 18.0], WQ3F8aA3Ft, 5657051]
[paragraph, [278.0, 621.0, 195.0, 18.0], up2DnhJTC8, 5657051]
