[1725, 1313]
[paragraph, [167.0, 139.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 175.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 211.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 247.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 283.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 319.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 355.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 391.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [167.0, 427.0, 383.0, 36.0], p5PaeNPowe, 5771862]
[paragraph, [118.0, 469.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 505.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 541.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 577.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 613.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 649.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 685.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [118.0, 721.0, 542.0, 36.0], Q5uigDb6-Z, 5771862]
[paragraph, [669.0, 577.0, 531.0, 36.0], w4d4l3C6Hp, 5771862]
[paragraph, [669.0, 613.0, 531.0, 36.0], w4d4l3C6Hp, 5771862]
[paragraph, [669.0, 649.0, 531.0, 36.0], w4d4l3C6Hp, 5771862]
[paragraph, [669.0, 685.0, 531.0, 36.0], w4d4l3C6Hp, 5771862]
[paragraph, [669.0, 803.0, 570.0, 36.0], NiJG6DHOUf, 5771862]
[paragraph, [669.0, 839.0, 570.0, 36.0], NiJG6DHOUf, 5771862]
[paragraph, [669.0, 875.0, 570.0, 36.0], NiJG6DHOUf, 5771862]
[paragraph, [110.0, 850.0, 554.0, 36.0], 6ojK62IhHU, 5771862]
[paragraph, [110.0, 886.0, 554.0, 36.0], 6ojK62IhHU, 5771862]
[paragraph, [110.0, 922.0, 554.0, 36.0], 6ojK62IhHU, 5771862]
[paragraph, [110.0, 958.0, 554.0, 36.0], 6ojK62IhHU, 5771862]
[paragraph, [110.0, 994.0, 554.0, 36.0], 6ojK62IhHU, 5771862]
[paragraph, [677.0, 916.0, 541.0, 36.0], 1DNT2cgftw, 5771862]
[paragraph, [677.0, 952.0, 541.0, 36.0], 1DNT2cgftw, 5771862]
[paragraph, [677.0, 988.0, 541.0, 36.0], 1DNT2cgftw, 5771862]
[paragraph, [722.0, 1043.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1079.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1115.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1151.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1187.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1223.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1259.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1295.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1331.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [722.0, 1367.0, 440.0, 36.0], Z_CCFjq9UA, 5771862]
[paragraph, [686.0, 1511.0, 518.0, 36.0], r5hUH-B5hy, 5771862]
[folio, [579.0, 1581.0, 161.0, 36.0], nvLt-eOMHB, 5771862]
