[842, 595]
[chapter-title, [139.0, 58.0, 317.0, 30.0], shoonya_11sVYEW6Q6O9PC, 5660617]
[chapter-title, [139.0, 88.0, 317.0, 30.0], shoonya_11sVYEW6Q6O9PC, 5660617]
[paragraph, [81.0, 305.0, 466.0, 18.0], shoonya_1sPIO6SZ09MOZX, 5660617]
[paragraph, [81.0, 323.0, 466.0, 18.0], shoonya_1sPIO6SZ09MOZX, 5660617]
[unordered-list, [86.0, 397.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[unordered-list, [86.0, 415.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[unordered-list, [86.0, 433.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[unordered-list, [86.0, 451.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[unordered-list, [86.0, 469.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[unordered-list, [86.0, 487.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[unordered-list, [86.0, 505.0, 457.0, 18.0], shoonya_0sSUUZP86M4MB9, 5660617]
[paragraph, [81.0, 588.0, 466.0, 18.0], shoonya_4sHSY3UJBZDRCW, 5660617]
[paragraph, [81.0, 606.0, 466.0, 18.0], shoonya_4sHSY3UJBZDRCW, 5660617]
[paragraph, [81.0, 624.0, 466.0, 18.0], shoonya_4sHSY3UJBZDRCW, 5660617]
[paragraph, [82.0, 687.0, 466.0, 18.0], shoonya_2sBKQMC2Z47D8E, 5660617]
[paragraph, [82.0, 705.0, 466.0, 18.0], shoonya_2sBKQMC2Z47D8E, 5660617]
[paragraph, [82.0, 723.0, 466.0, 18.0], shoonya_2sBKQMC2Z47D8E, 5660617]
[paragraph, [82.0, 741.0, 466.0, 18.0], shoonya_2sBKQMC2Z47D8E, 5660617]
[paragraph, [82.0, 759.0, 466.0, 18.0], shoonya_2sBKQMC2Z47D8E, 5660617]
