[1818, 1374]
[folio, [606.0, 124.0, 160.0, 36.0], shoonya_0s8B0XBBF1FTVD, 5683200]
[paragraph, [103.0, 193.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 229.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 265.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 301.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 337.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 373.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 409.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 445.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 481.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 517.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 553.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 589.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 625.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 661.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 697.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 733.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 769.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 805.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 841.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 877.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 913.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 949.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 985.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1021.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1057.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1093.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1129.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1165.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1201.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1237.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1273.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1309.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1345.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1381.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1417.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1453.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1489.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1525.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1561.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1597.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1633.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [103.0, 1669.0, 570.0, 36.0], kMRKfUcAkN, 5683200]
[paragraph, [692.0, 193.0, 573.0, 36.0], 4q5aYwhm04, 5683200]
[paragraph, [692.0, 229.0, 573.0, 36.0], 4q5aYwhm04, 5683200]
[paragraph, [692.0, 265.0, 573.0, 36.0], 4q5aYwhm04, 5683200]
[paragraph, [692.0, 301.0, 573.0, 36.0], 4q5aYwhm04, 5683200]
