[1951, 1219]
[folio, [214.0, 117.0, 199.0, 36.0], UflWg7kc-u, 5682466]
[paragraph, [120.0, 205.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 241.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 277.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 313.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 349.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 385.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 421.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 457.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 493.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 529.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 565.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 601.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 637.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 673.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 709.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 745.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [120.0, 781.0, 974.0, 36.0], shoonya_0sJDTB3K1SIS0K, 5682466]
[paragraph, [124.0, 838.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 874.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 910.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 946.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 982.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 1018.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 1054.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 1090.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [124.0, 1126.0, 972.0, 36.0], shoonya_1s1GET98F181JZ, 5682466]
[paragraph, [121.0, 1202.0, 967.0, 36.0], Q3u21wosP7, 5682466]
[paragraph, [121.0, 1238.0, 967.0, 36.0], Q3u21wosP7, 5682466]
[paragraph, [121.0, 1274.0, 967.0, 36.0], Q3u21wosP7, 5682466]
[paragraph, [121.0, 1310.0, 967.0, 36.0], Q3u21wosP7, 5682466]
[paragraph, [121.0, 1346.0, 967.0, 36.0], Q3u21wosP7, 5682466]
[paragraph, [121.0, 1382.0, 967.0, 36.0], Q3u21wosP7, 5682466]
[paragraph, [120.0, 1435.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1471.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1507.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1543.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1579.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1615.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1651.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1687.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1723.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1759.0, 976.0, 36.0], lF3Es5L105, 5682466]
[paragraph, [120.0, 1795.0, 976.0, 36.0], lF3Es5L105, 5682466]
