[1667, 1042]
[folio, [119.0, 96.0, 212.0, 36.0], LTDCNu33d_, 5752323]
[paragraph, [107.0, 134.0, 865.0, 36.0], shoonya_5sLBZVVZCADA0F, 5752323]
[paragraph, [107.0, 170.0, 865.0, 36.0], shoonya_5sLBZVVZCADA0F, 5752323]
[paragraph, [107.0, 206.0, 865.0, 36.0], shoonya_5sLBZVVZCADA0F, 5752323]
[paragraph, [108.0, 281.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 317.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 353.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 389.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 425.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 461.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 497.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 533.0, 865.0, 36.0], shoonya_3sJVFXTBACVG4Y, 5752323]
[paragraph, [108.0, 586.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 622.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 658.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 694.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 730.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 766.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 802.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 838.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 874.0, 862.0, 36.0], Br8W5Cz23b, 5752323]
[paragraph, [108.0, 939.0, 867.0, 36.0], xrYR5FTTMZ, 5752323]
[paragraph, [108.0, 975.0, 867.0, 36.0], xrYR5FTTMZ, 5752323]
[paragraph, [105.0, 1038.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1074.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1110.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1146.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1182.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1218.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1254.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1290.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1326.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1362.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1398.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1434.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[paragraph, [105.0, 1470.0, 868.0, 36.0], shoonya_0s31A485UATGLC, 5752323]
[website-link, [339.0, 1600.0, 359.0, 18.0], yYyDpBEAb0, 5752323]
[website-link, [339.0, 1618.0, 359.0, 18.0], yYyDpBEAb0, 5752323]
[website-link, [339.0, 1636.0, 359.0, 18.0], yYyDpBEAb0, 5752323]
