[515, 727]
[paragraph, [122.0, 53.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 71.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 89.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 107.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 125.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 143.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 161.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [122.0, 179.0, 262.0, 18.0], shoonya_0sYIFXKP33ED7F, 6534026]
[paragraph, [410.0, 55.0, 113.0, 18.0], DLVnnh6jQS, 6534026]
[paragraph, [411.0, 79.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 97.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 115.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 133.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 151.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 169.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 187.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 205.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 223.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 241.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 259.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 277.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 295.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 313.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 331.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 349.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 367.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 385.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [411.0, 403.0, 261.0, 18.0], Y0PIvyqS5Q, 6534026]
[paragraph, [118.0, 205.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 223.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 241.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 259.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 277.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 295.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 313.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 331.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 349.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 367.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 385.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[paragraph, [118.0, 403.0, 262.0, 18.0], XT2mjx0aWn, 6534026]
[folio, [398.0, 426.0, 47.0, 18.0], 3aNYpiU1ti, 6534026]
