[609, 397]
[paragraph, [149.0, 61.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 79.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 97.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 115.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 133.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 151.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 169.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 187.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 205.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 223.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 241.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 259.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 277.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[paragraph, [149.0, 295.0, 212.0, 18.0], shoonya_1sRT65YPZYS60P, 5768632]
[sidebar, [34.0, 129.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 147.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 165.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 183.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 201.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 219.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 237.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 255.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 273.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 291.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 309.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 327.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 345.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 363.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 381.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 399.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 417.0, 114.0, 18.0], kM0wto-22d, 5768632]
[sidebar, [34.0, 435.0, 114.0, 18.0], kM0wto-22d, 5768632]
[paragraph, [150.0, 323.0, 214.0, 18.0], jvw10rgS5f, 5768632]
[paragraph, [150.0, 341.0, 214.0, 18.0], jvw10rgS5f, 5768632]
[paragraph, [150.0, 359.0, 214.0, 18.0], jvw10rgS5f, 5768632]
[paragraph, [150.0, 377.0, 214.0, 18.0], jvw10rgS5f, 5768632]
[paragraph, [150.0, 395.0, 214.0, 18.0], jvw10rgS5f, 5768632]
[paragraph, [150.0, 413.0, 214.0, 18.0], jvw10rgS5f, 5768632]
[author, [56.0, 436.0, 81.0, 18.0], UqvLwkNsyM, 5768632]
[paragraph, [145.0, 453.0, 220.0, 18.0], shoonya_0sG8DJL9WK838K, 5768632]
[paragraph, [145.0, 471.0, 220.0, 18.0], shoonya_0sG8DJL9WK838K, 5768632]
[paragraph, [145.0, 489.0, 220.0, 18.0], shoonya_0sG8DJL9WK838K, 5768632]
[paragraph, [145.0, 507.0, 220.0, 18.0], shoonya_0sG8DJL9WK838K, 5768632]
[paragraph, [145.0, 525.0, 220.0, 18.0], shoonya_0sG8DJL9WK838K, 5768632]
[sidebar, [35.0, 539.0, 120.0, 18.0], 5tpxH0bkRN, 5768632]
