[872, 605]
[folio, [39.0, 39.0, 78.0, 18.0], Fer78wx9Az, 6457534]
[paragraph, [39.0, 78.0, 262.0, 18.0], shoonya_0s2D0RYVRDCHWE, 6457534]
[paragraph, [39.0, 96.0, 262.0, 18.0], shoonya_0s2D0RYVRDCHWE, 6457534]
[chapter-title, [353.0, 81.0, 158.0, 30.0], uPtuTEfPP8, 6457534]
[chapter-title, [353.0, 111.0, 158.0, 30.0], uPtuTEfPP8, 6457534]
[paragraph, [39.0, 119.0, 262.0, 18.0], oy48pwpltk, 6457534]
[paragraph, [39.0, 137.0, 262.0, 18.0], oy48pwpltk, 6457534]
[paragraph, [39.0, 155.0, 262.0, 18.0], oy48pwpltk, 6457534]
[paragraph, [39.0, 173.0, 262.0, 18.0], oy48pwpltk, 6457534]
[paragraph, [302.0, 156.0, 262.0, 18.0], X8L0x8-cRW, 6457534]
[paragraph, [302.0, 174.0, 262.0, 18.0], X8L0x8-cRW, 6457534]
[paragraph, [302.0, 192.0, 262.0, 18.0], X8L0x8-cRW, 6457534]
[paragraph, [302.0, 210.0, 262.0, 18.0], X8L0x8-cRW, 6457534]
[paragraph, [302.0, 228.0, 262.0, 18.0], X8L0x8-cRW, 6457534]
[paragraph, [38.0, 205.0, 262.0, 18.0], JZDa8QauA6, 6457534]
[paragraph, [38.0, 223.0, 262.0, 18.0], JZDa8QauA6, 6457534]
[paragraph, [303.0, 244.0, 230.0, 18.0], k6QDlzj6Kz, 6457534]
[paragraph, [64.0, 245.0, 225.0, 18.0], lgJl8UHhul, 6457534]
[paragraph, [64.0, 263.0, 225.0, 18.0], lgJl8UHhul, 6457534]
[paragraph, [64.0, 281.0, 225.0, 18.0], lgJl8UHhul, 6457534]
[paragraph, [64.0, 299.0, 225.0, 18.0], lgJl8UHhul, 6457534]
[paragraph, [302.0, 263.0, 184.0, 18.0], k61ZhNG-_E, 6457534]
[reference, [448.0, 277.0, 93.0, 18.0], P-KwXIs1gG, 6457534]
[paragraph, [302.0, 294.0, 239.0, 18.0], w9NJGzTeML, 6457534]
[paragraph, [302.0, 312.0, 239.0, 18.0], w9NJGzTeML, 6457534]
[paragraph, [40.0, 317.0, 258.0, 18.0], h53FirXlXY, 6457534]
[paragraph, [40.0, 335.0, 258.0, 18.0], h53FirXlXY, 6457534]
[paragraph, [40.0, 353.0, 258.0, 18.0], h53FirXlXY, 6457534]
[paragraph, [302.0, 329.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 347.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 365.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 383.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 401.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 419.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 437.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 455.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [302.0, 473.0, 262.0, 18.0], di_ErEp5yn, 6457534]
[paragraph, [41.0, 392.0, 261.0, 18.0], U8z5EPV5l2, 6457534]
[paragraph, [41.0, 410.0, 261.0, 18.0], U8z5EPV5l2, 6457534]
[paragraph, [41.0, 428.0, 261.0, 18.0], U8z5EPV5l2, 6457534]
[paragraph, [40.0, 448.0, 262.0, 18.0], DV_wr3Q15m, 6457534]
[paragraph, [40.0, 466.0, 262.0, 18.0], DV_wr3Q15m, 6457534]
[paragraph, [40.0, 484.0, 262.0, 18.0], DV_wr3Q15m, 6457534]
[paragraph, [304.0, 500.0, 260.0, 18.0], 9fU-Uv7j5x, 6457534]
[paragraph, [304.0, 518.0, 260.0, 18.0], 9fU-Uv7j5x, 6457534]
[paragraph, [40.0, 518.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 536.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 554.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 572.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 590.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 608.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 626.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [40.0, 644.0, 264.0, 18.0], TxZCwOu3vs, 6457534]
[paragraph, [304.0, 536.0, 259.0, 18.0], ZSS6voav5n, 6457534]
[paragraph, [304.0, 554.0, 259.0, 18.0], ZSS6voav5n, 6457534]
[paragraph, [306.0, 573.0, 258.0, 18.0], Gim9YAKXir, 6457534]
[paragraph, [306.0, 591.0, 258.0, 18.0], Gim9YAKXir, 6457534]
[paragraph, [306.0, 609.0, 258.0, 18.0], Gim9YAKXir, 6457534]
[paragraph, [305.0, 627.0, 257.0, 18.0], nZRHhxh5yv, 6457534]
[paragraph, [305.0, 645.0, 257.0, 18.0], nZRHhxh5yv, 6457534]
[reference, [304.0, 670.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 688.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 706.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 724.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 742.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 760.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 778.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[reference, [304.0, 796.0, 259.0, 18.0], BoAx-qd2vz, 6457534]
[paragraph, [68.0, 677.0, 213.0, 18.0], JbPPnB78km, 6457534]
[paragraph, [68.0, 695.0, 213.0, 18.0], JbPPnB78km, 6457534]
[reference, [42.0, 755.0, 262.0, 18.0], 2yxbYk_KQZ, 6457534]
[reference, [42.0, 773.0, 262.0, 18.0], 2yxbYk_KQZ, 6457534]
[reference, [42.0, 791.0, 262.0, 18.0], 2yxbYk_KQZ, 6457534]
[reference, [42.0, 809.0, 262.0, 18.0], 2yxbYk_KQZ, 6457534]
