[2200, 1700]
[answer, [289.0, 142.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [289.0, 178.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [289.0, 214.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [289.0, 250.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [289.0, 286.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [289.0, 322.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [289.0, 358.0, 1097.0, 36.0], shoonya_1s5PD4MDMCRBNR, 5731101]
[answer, [292.0, 479.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[answer, [292.0, 515.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[answer, [292.0, 551.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[answer, [292.0, 587.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[answer, [292.0, 623.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[answer, [292.0, 659.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[answer, [292.0, 695.0, 1100.0, 36.0], shoonya_3sBO107KSACWO3, 5731101]
[paragraph, [293.0, 765.0, 457.0, 36.0], shoonya_5sACWNBP5NDA8Y, 5731101]
[section-title, [292.0, 767.0, 456.0, 52.5], shoonya_8sM95298MJUZS6, 5731101]
[paragraph, [293.0, 826.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 862.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 898.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 934.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 970.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 1006.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 1042.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 1078.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 1114.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 1150.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[paragraph, [293.0, 1186.0, 1093.0, 36.0], shoonya_0s6RVZRYUJQ811, 5731101]
[answer, [293.0, 1322.0, 1094.0, 36.0], shoonya_2sTTHHY4P0SBN6, 5731101]
[answer, [293.0, 1358.0, 1094.0, 36.0], shoonya_2sTTHHY4P0SBN6, 5731101]
[answer, [293.0, 1394.0, 1094.0, 36.0], shoonya_2sTTHHY4P0SBN6, 5731101]
[answer, [293.0, 1430.0, 1094.0, 36.0], shoonya_2sTTHHY4P0SBN6, 5731101]
[answer, [293.0, 1466.0, 1094.0, 36.0], shoonya_2sTTHHY4P0SBN6, 5731101]
[answer, [295.0, 1612.0, 1085.0, 36.0], shoonya_10s6Z9US4Z50SW, 5731101]
[answer, [295.0, 1648.0, 1085.0, 36.0], shoonya_10s6Z9US4Z50SW, 5731101]
[answer, [295.0, 1684.0, 1085.0, 36.0], shoonya_10s6Z9US4Z50SW, 5731101]
[answer, [295.0, 1720.0, 1085.0, 36.0], shoonya_10s6Z9US4Z50SW, 5731101]
[answer, [295.0, 1756.0, 1085.0, 36.0], shoonya_10s6Z9US4Z50SW, 5731101]
[footnote, [292.0, 1851.0, 1076.0, 36.0], Rl9FFMJqwh, 5731101]
[footnote, [292.0, 1887.0, 1076.0, 36.0], Rl9FFMJqwh, 5731101]
[folio, [938.0, 2038.0, 367.0, 36.0], aylKVioSh5, 5731101]
