[1387, 987]
[paragraph, [62.0, 94.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 112.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 130.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 148.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 166.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 184.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 202.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 220.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 238.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 256.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 274.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [62.0, 292.0, 831.0, 18.0], shoonya_2s5SH8BI8TSS7B, 5652131]
[paragraph, [57.0, 337.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 355.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 373.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 391.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 409.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 427.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 445.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 463.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 481.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 499.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 517.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 535.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [57.0, 553.0, 872.0, 18.0], ojKEp2W9rO, 5652131]
[paragraph, [70.0, 578.0, 810.0, 18.0], hdx6WfMLrN, 5652131]
[paragraph, [70.0, 596.0, 810.0, 18.0], hdx6WfMLrN, 5652131]
[paragraph, [70.0, 614.0, 810.0, 18.0], hdx6WfMLrN, 5652131]
[paragraph, [70.0, 632.0, 810.0, 18.0], hdx6WfMLrN, 5652131]
[paragraph, [70.0, 650.0, 810.0, 18.0], hdx6WfMLrN, 5652131]
[paragraph, [70.0, 668.0, 810.0, 18.0], hdx6WfMLrN, 5652131]
[paragraph, [91.0, 756.0, 107.0, 18.0], shoonya_1s56MQJF3TWC4D, 5652131]
[paragraph, [91.0, 774.0, 107.0, 18.0], shoonya_1s56MQJF3TWC4D, 5652131]
[paragraph, [87.0, 824.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 842.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 860.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 878.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 896.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 914.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 932.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 950.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 968.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
[paragraph, [87.0, 986.0, 793.0, 18.0], shoonya_0sFZH4DJ5648HR, 5652131]
