[1948, 1214]
[folio, [906.0, 141.0, 164.0, 36.0], shoonya_0sHZL0GX0YXH28, 5732414]
[paragraph, [139.0, 218.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 254.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 290.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 326.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 362.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 398.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 434.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 470.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 506.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 542.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[paragraph, [139.0, 578.0, 715.0, 36.0], K8_JjBUiVD, 5732414]
[section-title, [172.0, 689.0, 116.0, 49.5], ZZdsGGnjJO, 5732414]
[paragraph, [137.0, 783.0, 786.0, 36.0], shoonya_1s5JU18HGB4N3U, 5732414]
[paragraph, [137.0, 819.0, 786.0, 36.0], shoonya_1s5JU18HGB4N3U, 5732414]
[paragraph, [122.0, 894.0, 788.0, 36.0], Qo7kIhBhOZ, 5732414]
[paragraph, [122.0, 930.0, 788.0, 36.0], Qo7kIhBhOZ, 5732414]
[paragraph, [115.0, 984.0, 667.0, 36.0], x2xfTZNa-9, 5732414]
[paragraph, [115.0, 1020.0, 667.0, 36.0], x2xfTZNa-9, 5732414]
[paragraph, [110.0, 1096.0, 672.0, 36.0], x9mjWWg1Xr, 5732414]
[paragraph, [110.0, 1132.0, 672.0, 36.0], x9mjWWg1Xr, 5732414]
[paragraph, [140.0, 1197.0, 671.0, 36.0], 8MvYyarcaa, 5732414]
[paragraph, [140.0, 1233.0, 671.0, 36.0], 8MvYyarcaa, 5732414]
[paragraph, [119.0, 1295.0, 746.0, 36.0], g_cdh-2ku_, 5732414]
[paragraph, [119.0, 1331.0, 746.0, 36.0], g_cdh-2ku_, 5732414]
[paragraph, [120.0, 1401.0, 667.0, 36.0], Ox_VePUOFn, 5732414]
[paragraph, [120.0, 1437.0, 667.0, 36.0], Ox_VePUOFn, 5732414]
[paragraph, [113.0, 1504.0, 752.0, 36.0], ODo-0GMc2j, 5732414]
[paragraph, [113.0, 1540.0, 752.0, 36.0], ODo-0GMc2j, 5732414]
[paragraph, [113.0, 1603.0, 770.0, 36.0], hPxkLGyj8W, 5732414]
[paragraph, [113.0, 1639.0, 770.0, 36.0], hPxkLGyj8W, 5732414]
[paragraph, [113.0, 1675.0, 770.0, 36.0], hPxkLGyj8W, 5732414]
[footnote, [171.0, 1714.0, 521.0, 36.0], mXXtNwuL2c, 5732414]
[footnote, [171.0, 1750.0, 521.0, 36.0], mXXtNwuL2c, 5732414]
[folio, [507.0, 1854.0, 195.0, 36.0], VN4sIDM3nN, 5732414]
