[2339, 1653]
[paragraph, [216.0, 195.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 231.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 267.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 303.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 339.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 375.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 411.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 447.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 483.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 519.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 555.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 591.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 627.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 663.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 699.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 735.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 771.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 807.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 843.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 879.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 915.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 951.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 987.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1023.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1059.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1095.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1131.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1167.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1203.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1239.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1275.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1311.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[paragraph, [216.0, 1347.0, 1221.0, 36.0], shoonya_1sINTRXNCVPD3V, 5686600]
[section-title, [221.0, 1402.0, 1082.0, 52.5], shoonya_3sP0N3I2CUFDRV, 5686600]
[paragraph, [223.0, 1483.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1519.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1555.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1591.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1627.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1663.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1699.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1735.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1771.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1807.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1843.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1879.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1915.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1951.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 1987.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 2023.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 2059.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
[paragraph, [223.0, 2095.0, 1206.0, 36.0], shoonya_0sEK6GGT1B8FCV, 5686600]
