[2200, 1700]
[paragraph, [333.0, 125.0, 1074.0, 36.0], shoonya_4s14DCVW082JJ2, 5731316]
[paragraph, [333.0, 161.0, 1074.0, 36.0], shoonya_4s14DCVW082JJ2, 5731316]
[paragraph, [333.0, 197.0, 1074.0, 36.0], shoonya_4s14DCVW082JJ2, 5731316]
[paragraph, [333.0, 233.0, 1074.0, 36.0], shoonya_4s14DCVW082JJ2, 5731316]
[paragraph, [333.0, 269.0, 1074.0, 36.0], shoonya_4s14DCVW082JJ2, 5731316]
[paragraph, [333.0, 305.0, 1074.0, 36.0], shoonya_4s14DCVW082JJ2, 5731316]
[paragraph, [311.0, 371.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 407.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 443.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 479.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 515.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 551.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 587.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 623.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 659.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 695.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [311.0, 731.0, 1104.0, 36.0], shoonya_2s2O8714ZTI7H3, 5731316]
[paragraph, [309.0, 792.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 828.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 864.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 900.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 936.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 972.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 1008.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 1044.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 1080.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 1116.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [309.0, 1152.0, 1107.0, 36.0], shoonya_1sOH96HVEMUS03, 5731316]
[paragraph, [311.0, 1221.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1257.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1293.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1329.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1365.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1401.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1437.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1473.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1509.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1545.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1581.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1617.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1653.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1689.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1725.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1761.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1797.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1833.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1869.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1905.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
[paragraph, [311.0, 1941.0, 1105.0, 36.0], shoonya_0sQF4PR7X77TXH, 5731316]
