[576, 720]
[paragraph, [19.0, 65.0, 300.0, 18.0], -f9cCPVPJ0, 6532769]
[paragraph, [20.0, 100.0, 296.0, 18.0], ViJ336uRKq, 6532769]
[paragraph, [405.0, 174.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 192.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 210.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 228.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 246.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 264.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 282.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 300.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 318.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 336.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [405.0, 354.0, 296.0, 18.0], shoonya_0sXU5VLAF8QZE9, 6532769]
[paragraph, [406.0, 376.0, 301.0, 18.0], dmi-Yc-2l1, 6532769]
[paragraph, [406.0, 394.0, 301.0, 18.0], dmi-Yc-2l1, 6532769]
[paragraph, [406.0, 412.0, 301.0, 18.0], dmi-Yc-2l1, 6532769]
[paragraph, [406.0, 430.0, 301.0, 18.0], dmi-Yc-2l1, 6532769]
[paragraph, [406.0, 448.0, 301.0, 18.0], dmi-Yc-2l1, 6532769]
[paragraph, [406.0, 478.0, 300.0, 18.0], 3ljIAtzZle, 6532769]
[paragraph, [406.0, 496.0, 300.0, 18.0], 3ljIAtzZle, 6532769]
[paragraph, [406.0, 514.0, 300.0, 18.0], 3ljIAtzZle, 6532769]
[paragraph, [406.0, 532.0, 300.0, 18.0], 3ljIAtzZle, 6532769]
