[1725, 1313]
[paragraph, [120.0, 145.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[paragraph, [120.0, 181.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[paragraph, [120.0, 217.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[paragraph, [120.0, 253.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[paragraph, [120.0, 289.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[paragraph, [120.0, 325.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[paragraph, [120.0, 361.0, 527.0, 36.0], shoonya_2sCN6D8GQ4CKYV, 5771782]
[quote, [684.0, 170.0, 480.0, 36.0], bDNyBR63MO, 5771782]
[quote, [684.0, 206.0, 480.0, 36.0], bDNyBR63MO, 5771782]
[quote, [684.0, 242.0, 480.0, 36.0], bDNyBR63MO, 5771782]
[paragraph, [118.0, 425.0, 530.0, 36.0], shoonya_3sGQCDCEF50YRE, 5771782]
[paragraph, [118.0, 461.0, 530.0, 36.0], shoonya_3sGQCDCEF50YRE, 5771782]
[paragraph, [118.0, 497.0, 530.0, 36.0], shoonya_3sGQCDCEF50YRE, 5771782]
[paragraph, [118.0, 533.0, 530.0, 36.0], shoonya_3sGQCDCEF50YRE, 5771782]
[paragraph, [662.0, 539.0, 525.0, 36.0], shoonya_1sV11XXIROU7SA, 5771782]
[paragraph, [662.0, 575.0, 525.0, 36.0], shoonya_1sV11XXIROU7SA, 5771782]
[paragraph, [662.0, 611.0, 525.0, 36.0], shoonya_1sV11XXIROU7SA, 5771782]
[paragraph, [662.0, 647.0, 525.0, 36.0], shoonya_1sV11XXIROU7SA, 5771782]
[paragraph, [662.0, 683.0, 525.0, 36.0], shoonya_1sV11XXIROU7SA, 5771782]
[paragraph, [117.0, 603.0, 531.0, 36.0], shoonya_9sDWKVK1KECD6I, 5771782]
[paragraph, [117.0, 639.0, 531.0, 36.0], shoonya_9sDWKVK1KECD6I, 5771782]
[paragraph, [117.0, 675.0, 531.0, 36.0], shoonya_9sDWKVK1KECD6I, 5771782]
[paragraph, [121.0, 747.0, 527.0, 36.0], shoonya_11s4MYIOEVGFQW, 5771782]
[paragraph, [121.0, 783.0, 527.0, 36.0], shoonya_11s4MYIOEVGFQW, 5771782]
[paragraph, [121.0, 819.0, 527.0, 36.0], shoonya_11s4MYIOEVGFQW, 5771782]
[paragraph, [662.0, 753.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 789.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 825.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 861.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 897.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 933.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 969.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 1005.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [662.0, 1041.0, 528.0, 36.0], shoonya_0sQ12YGYRKM30L, 5771782]
[paragraph, [122.0, 890.0, 525.0, 36.0], shoonya_10sN30UNXTTWOZ, 5771782]
[paragraph, [122.0, 926.0, 525.0, 36.0], shoonya_10sN30UNXTTWOZ, 5771782]
[paragraph, [122.0, 962.0, 525.0, 36.0], shoonya_10sN30UNXTTWOZ, 5771782]
[paragraph, [122.0, 998.0, 525.0, 36.0], shoonya_10sN30UNXTTWOZ, 5771782]
[paragraph, [122.0, 1034.0, 525.0, 36.0], shoonya_10sN30UNXTTWOZ, 5771782]
[paragraph, [122.0, 1070.0, 525.0, 36.0], shoonya_10sN30UNXTTWOZ, 5771782]
[paragraph, [662.0, 1102.0, 526.0, 36.0], shoonya_7sG1K1UTJLBZY0, 5771782]
[paragraph, [662.0, 1138.0, 526.0, 36.0], shoonya_7sG1K1UTJLBZY0, 5771782]
[paragraph, [662.0, 1174.0, 526.0, 36.0], shoonya_7sG1K1UTJLBZY0, 5771782]
[paragraph, [662.0, 1210.0, 526.0, 36.0], shoonya_7sG1K1UTJLBZY0, 5771782]
[paragraph, [662.0, 1246.0, 526.0, 36.0], shoonya_7sG1K1UTJLBZY0, 5771782]
[sidebar, [128.0, 1189.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1225.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1261.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1297.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1333.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1369.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1405.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1441.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[sidebar, [128.0, 1477.0, 515.0, 36.0], uIWAwQwdOb, 5771782]
[paragraph, [661.0, 1313.0, 527.0, 36.0], shoonya_5s5MO8PC4WSKRV, 5771782]
[paragraph, [661.0, 1349.0, 527.0, 36.0], shoonya_5s5MO8PC4WSKRV, 5771782]
[paragraph, [661.0, 1385.0, 527.0, 36.0], shoonya_5s5MO8PC4WSKRV, 5771782]
[paragraph, [661.0, 1421.0, 527.0, 36.0], shoonya_5s5MO8PC4WSKRV, 5771782]
[paragraph, [661.0, 1457.0, 527.0, 36.0], shoonya_5s5MO8PC4WSKRV, 5771782]
[folio, [582.0, 1575.0, 146.0, 36.0], 3SioAq09OR, 5771782]
