[2200, 1700]
[paragraph, [295.0, 86.0, 1077.0, 36.0], shoonya_2s1B6JKJ3SGM9B, 5731282]
[paragraph, [295.0, 122.0, 1077.0, 36.0], shoonya_2s1B6JKJ3SGM9B, 5731282]
[paragraph, [295.0, 158.0, 1077.0, 36.0], shoonya_2s1B6JKJ3SGM9B, 5731282]
[ordered-list, [290.0, 207.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 243.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 279.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 315.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 351.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 387.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 423.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 459.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 495.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 531.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 567.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 603.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 639.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 675.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 711.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 747.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 783.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 819.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 855.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 891.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 927.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 963.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 999.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1035.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1071.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1107.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1143.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1179.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1215.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1251.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1287.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1323.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1359.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1395.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1431.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1467.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1503.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1539.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1575.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1611.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1647.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1683.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1719.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1755.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1791.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1827.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1863.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[ordered-list, [290.0, 1899.0, 1106.0, 36.0], shoonya_0sZ2AB75C2BONJ, 5731282]
[folio, [948.0, 2030.0, 365.0, 36.0], VtNT4w6Yct, 5731282]
