[2339, 1653]
[paragraph, [238.0, 191.0, 1179.0, 36.0], shoonya_3sA4X9MGE2XCBD, 5754229]
[paragraph, [238.0, 227.0, 1179.0, 36.0], shoonya_3sA4X9MGE2XCBD, 5754229]
[paragraph, [238.0, 263.0, 1179.0, 36.0], shoonya_3sA4X9MGE2XCBD, 5754229]
[paragraph, [238.0, 299.0, 1179.0, 36.0], shoonya_3sA4X9MGE2XCBD, 5754229]
[paragraph, [234.0, 393.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 429.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 465.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 501.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 537.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 573.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 609.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 645.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 681.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 717.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 753.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 789.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 825.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 861.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 897.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 933.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 969.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 1005.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [234.0, 1041.0, 1181.0, 36.0], shoonya_0sC2XJ4BWNHI3F, 5754229]
[paragraph, [235.0, 1137.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1173.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1209.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1245.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1281.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1317.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1353.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1389.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1425.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1461.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [235.0, 1497.0, 1179.0, 36.0], shoonya_2sECJE3U60NN3F, 5754229]
[paragraph, [237.0, 1607.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1643.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1679.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1715.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1751.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1787.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1823.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1859.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1895.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1931.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 1967.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 2003.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 2039.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
[paragraph, [237.0, 2075.0, 1183.0, 36.0], shoonya_1s6B0B2UH6HQ93, 5754229]
