[2200, 1700]
[unordered-list, [422.0, 115.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 151.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 187.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 223.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 259.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 295.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 331.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 367.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 403.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[unordered-list, [422.0, 439.0, 1086.0, 36.0], shoonya_1sBLK6D1WAKIPH, 5734439]
[paragraph, [369.0, 694.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 730.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 766.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 802.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 838.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 874.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 910.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 946.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 982.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 1018.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 1054.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 1090.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [369.0, 1126.0, 1137.0, 36.0], shoonya_0sO3C3A1LRM6YE, 5734439]
[paragraph, [373.0, 1219.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1255.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1291.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1327.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1363.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1399.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1435.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1471.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1507.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1543.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1579.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1615.0, 1130.0, 36.0], shoonya_3s6E7FHLSZ6DMW, 5734439]
[paragraph, [373.0, 1686.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1722.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1758.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1794.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1830.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1866.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1902.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1938.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 1974.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
[paragraph, [373.0, 2010.0, 1135.0, 36.0], shoonya_2sM5VC5M21F3RS, 5734439]
