[2150, 1329]
[folio, [468.0, 139.0, 425.0, 36.0], GImleFk8St, 5692204]
[folio, [169.0, 154.0, 179.0, 36.0], UwNgBeoACG, 5692204]
[paragraph, [375.0, 239.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 275.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 311.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 347.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 383.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 419.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 455.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 491.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [375.0, 527.0, 539.0, 36.0], wwmOSRACtq, 5692204]
[paragraph, [390.0, 588.0, 481.0, 36.0], RCo1IrY_vk, 5692204]
[paragraph, [390.0, 624.0, 481.0, 36.0], RCo1IrY_vk, 5692204]
[paragraph, [383.0, 697.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 733.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 769.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 805.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 841.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 877.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 913.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 949.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 985.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1021.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1057.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1093.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1129.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1165.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1201.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1237.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1273.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1309.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1345.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1381.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1417.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1453.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1489.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1525.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1561.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [383.0, 1597.0, 576.0, 36.0], OV9oTVRJB3, 5692204]
[paragraph, [387.0, 1650.0, 551.0, 36.0], shoonya_1s2XDKXEZ8KMX5, 5692204]
[paragraph, [387.0, 1686.0, 551.0, 36.0], shoonya_1s2XDKXEZ8KMX5, 5692204]
[paragraph, [387.0, 1722.0, 551.0, 36.0], shoonya_1s2XDKXEZ8KMX5, 5692204]
[paragraph, [387.0, 1758.0, 551.0, 36.0], shoonya_1s2XDKXEZ8KMX5, 5692204]
[paragraph, [387.0, 1794.0, 551.0, 36.0], shoonya_1s2XDKXEZ8KMX5, 5692204]
[paragraph, [387.0, 1830.0, 551.0, 36.0], shoonya_1s2XDKXEZ8KMX5, 5692204]
[footnote, [217.0, 1943.0, 708.0, 36.0], shoonya_0sPM89VGHTE20S, 5692204]
