[2200, 1700]
[paragraph, [370.0, 113.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 149.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 185.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 221.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 257.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 293.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 329.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 365.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 401.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [370.0, 437.0, 1157.0, 36.0], shoonya_2sWUKBEMQQSDCY, 5733581]
[paragraph, [372.0, 526.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 562.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 598.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 634.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 670.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 706.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 742.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 778.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 814.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 850.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 886.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 922.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 958.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 994.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 1030.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 1066.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 1102.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [372.0, 1138.0, 1166.0, 36.0], shoonya_0sDQ3HJ5VD2FMH, 5733581]
[paragraph, [375.0, 1218.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1254.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1290.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1326.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1362.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1398.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1434.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1470.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1506.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1542.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1578.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1614.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1650.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1686.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1722.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1758.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1794.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1830.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1866.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1902.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
[paragraph, [375.0, 1938.0, 1147.0, 36.0], shoonya_1sFYTKJOOJUOV1, 5733581]
