[1238, 765]
[folio, [322.0, 74.0, 142.0, 18.0], qEOh8HyryE, 5770619]
[folio, [322.0, 92.0, 142.0, 18.0], qEOh8HyryE, 5770619]
[paragraph, [386.0, 130.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 148.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 166.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 184.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 202.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 220.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 238.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 256.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 274.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 292.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 310.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 328.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 346.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 364.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 382.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 400.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 418.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 436.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 454.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 472.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 490.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 508.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 526.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 544.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 562.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 580.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 598.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 616.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 634.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 652.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 670.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 688.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 706.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 724.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 742.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 760.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 778.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 796.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 814.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 832.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 850.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 868.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 886.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 904.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 922.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 940.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 958.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 976.0, 308.0, 18.0], iAnpduQXqE, 5770619]
[paragraph, [386.0, 994.0, 308.0, 18.0], iAnpduQXqE, 5770619]
