[1650, 1050]
[paragraph, [130.0, 116.0, 832.0, 36.0], shoonya_2s3BUZO9NNUOKZ, 5732830]
[paragraph, [130.0, 152.0, 832.0, 36.0], shoonya_2s3BUZO9NNUOKZ, 5732830]
[paragraph, [130.0, 188.0, 832.0, 36.0], shoonya_2s3BUZO9NNUOKZ, 5732830]
[paragraph, [131.0, 262.0, 830.0, 36.0], shoonya_0sUSECZ3475XYV, 5732830]
[paragraph, [131.0, 298.0, 830.0, 36.0], shoonya_0sUSECZ3475XYV, 5732830]
[paragraph, [131.0, 334.0, 830.0, 36.0], shoonya_0sUSECZ3475XYV, 5732830]
[paragraph, [131.0, 370.0, 830.0, 36.0], shoonya_0sUSECZ3475XYV, 5732830]
[paragraph, [131.0, 406.0, 830.0, 36.0], shoonya_0sUSECZ3475XYV, 5732830]
[paragraph, [131.0, 442.0, 830.0, 36.0], shoonya_0sUSECZ3475XYV, 5732830]
[paragraph, [130.0, 496.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 532.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 568.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 604.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 640.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 676.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 712.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 748.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 784.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 820.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 856.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 892.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 928.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 964.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 1000.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 1036.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 1072.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 1108.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [130.0, 1144.0, 829.0, 36.0], shoonya_1sK1EP74ZDIGK3, 5732830]
[paragraph, [129.0, 1201.0, 833.0, 36.0], 5JoiqyKRDd, 5732830]
[paragraph, [129.0, 1237.0, 833.0, 36.0], 5JoiqyKRDd, 5732830]
[paragraph, [129.0, 1273.0, 833.0, 36.0], 5JoiqyKRDd, 5732830]
[paragraph, [129.0, 1309.0, 833.0, 36.0], 5JoiqyKRDd, 5732830]
[paragraph, [127.0, 1386.0, 833.0, 36.0], DFSZgQPOL2, 5732830]
[paragraph, [127.0, 1422.0, 833.0, 36.0], DFSZgQPOL2, 5732830]
[folio, [500.0, 1515.0, 148.0, 36.0], izhvuAH3Q6, 5732830]
