[1754, 1241]
[ordered-list, [181.0, 101.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 137.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 173.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 209.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 245.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 281.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 317.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [181.0, 353.0, 772.0, 36.0], shoonya_0sQISRNGKBE2JE, 5708712]
[ordered-list, [110.0, 416.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 452.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 488.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 524.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 560.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 596.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 632.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 668.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 704.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 740.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 776.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 812.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 848.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 884.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 920.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 956.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 992.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1028.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1064.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1100.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1136.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1172.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1208.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1244.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1280.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1316.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1352.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1388.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1424.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1460.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[ordered-list, [110.0, 1496.0, 1030.0, 36.0], pAjdirlJTU, 5708712]
[sub-ordered-list, [176.0, 875.0, 952.0, 36.0], YD7acy7qhG, 5708712]
[sub-ordered-list, [176.0, 911.0, 952.0, 36.0], YD7acy7qhG, 5708712]
[sub-ordered-list, [176.0, 947.0, 952.0, 36.0], YD7acy7qhG, 5708712]
[sub-ordered-list, [176.0, 983.0, 952.0, 36.0], YD7acy7qhG, 5708712]
[sub-ordered-list, [176.0, 1019.0, 952.0, 36.0], YD7acy7qhG, 5708712]
[sub-ordered-list, [176.0, 1055.0, 952.0, 36.0], YD7acy7qhG, 5708712]
[sub-ordered-list, [181.0, 1121.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1157.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1193.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1229.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1265.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1301.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1337.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1373.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1409.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1445.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1481.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[sub-ordered-list, [181.0, 1517.0, 949.0, 36.0], _0Ao6L5hXP, 5708712]
[paragraph, [168.0, 1557.0, 957.0, 36.0], poNHA9lUN6, 5708712]
