[1755, 1241]
[paragraph, [207.0, 111.0, 895.0, 36.0], h8WpoTFMJw, 5709453]
[paragraph, [207.0, 147.0, 895.0, 36.0], h8WpoTFMJw, 5709453]
[ordered-list, [135.0, 217.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 253.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 289.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 325.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 361.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 397.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 433.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 469.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 505.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 541.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 577.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 613.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 649.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 685.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 721.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 757.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 793.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 829.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 865.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 901.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 937.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 973.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1009.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1045.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1081.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1117.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1153.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1189.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1225.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1261.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [135.0, 1297.0, 979.0, 36.0], shoonya_0s9RYA9VNB4Z16, 5709453]
[ordered-list, [131.0, 1356.0, 985.0, 36.0], SW3YHUsxuc, 5709453]
[ordered-list, [131.0, 1392.0, 985.0, 36.0], SW3YHUsxuc, 5709453]
[ordered-list, [131.0, 1428.0, 985.0, 36.0], SW3YHUsxuc, 5709453]
[ordered-list, [131.0, 1464.0, 985.0, 36.0], SW3YHUsxuc, 5709453]
[ordered-list, [131.0, 1500.0, 985.0, 36.0], SW3YHUsxuc, 5709453]
[ordered-list, [131.0, 1536.0, 985.0, 36.0], SW3YHUsxuc, 5709453]
