[1034, 680]
[folio, [216.0, 67.0, 216.0, 18.0], TT5x4av70R, 5739618]
[paragraph, [67.0, 124.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 142.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 160.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 178.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 196.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 214.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 232.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 250.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 268.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 286.0, 548.0, 18.0], zO3_nyAAWI, 5739618]
[paragraph, [67.0, 321.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 339.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 357.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 375.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 393.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 411.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 429.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 447.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 465.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 483.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 501.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 519.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 537.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 555.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 573.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 591.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 609.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 627.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 645.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 663.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [67.0, 681.0, 541.0, 18.0], bCL1VPOPjC, 5739618]
[paragraph, [64.0, 715.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 733.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 751.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 769.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 787.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 805.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 823.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 841.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 859.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 877.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 895.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 913.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
[paragraph, [64.0, 931.0, 539.0, 18.0], shoonya_0sOGUKH7EAPG1F, 5739618]
