[2200, 1700]
[paragraph, [372.0, 110.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 146.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 182.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 218.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 254.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 290.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 326.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 362.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 398.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 434.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 470.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 506.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 542.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 578.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 614.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 650.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 686.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 722.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 758.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 794.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 830.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 866.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 902.0, 1133.0, 36.0], shoonya_0s8MROL8D3NXTI, 5734394]
[paragraph, [372.0, 966.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1002.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1038.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1074.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1110.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1146.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1182.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1218.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1254.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1290.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1326.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1362.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1398.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1434.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [372.0, 1470.0, 1132.0, 36.0], shoonya_2sIFMVCTAYOC5O, 5734394]
[paragraph, [375.0, 1548.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1584.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1620.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1656.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1692.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1728.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1764.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1800.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1836.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1872.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1908.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1944.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
[paragraph, [375.0, 1980.0, 1132.0, 36.0], shoonya_1s6W0O2ORTHV9K, 5734394]
