[3442, 2665]
[headline, [312.0, 552.0, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 604.5, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 657.0, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 709.5, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 762.0, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 814.5, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 867.0, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 919.5, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 972.0, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[headline, [312.0, 1024.5, 2049.0, 52.5], lW8nJS5Ark, 6473949]
[paragraph, [355.0, 1138.0, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1190.5, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1243.0, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1295.5, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1348.0, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1400.5, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1453.0, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1505.5, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1558.0, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1610.5, 1919.0, 52.5], iEFMPJSlWg, 6473949]
[paragraph, [355.0, 1663.0, 1919.0, 52.5], iEFMPJSlWg, 6473949]
