[1298, 853]
[section-title, [314.0, 67.0, 231.0, 30.0], shoonya_1sSZWSM0M93U1P, 5709912]
[paragraph, [59.0, 118.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 136.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 154.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 172.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 190.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 208.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 226.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 244.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 262.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 280.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 298.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 316.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 334.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 352.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 370.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 388.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 406.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 424.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 442.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 460.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 478.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 496.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 514.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 532.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 550.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 568.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 586.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 604.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 622.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 640.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 658.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 676.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 694.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [59.0, 712.0, 734.0, 18.0], shoonya_3sD24AYQQVFBBA, 5709912]
[paragraph, [58.0, 739.0, 743.0, 18.0], PLVEbjkUEW, 5709912]
[paragraph, [58.0, 757.0, 743.0, 18.0], PLVEbjkUEW, 5709912]
[paragraph, [58.0, 775.0, 743.0, 18.0], PLVEbjkUEW, 5709912]
[paragraph, [58.0, 793.0, 743.0, 18.0], PLVEbjkUEW, 5709912]
[paragraph, [58.0, 811.0, 743.0, 18.0], PLVEbjkUEW, 5709912]
[paragraph, [58.0, 829.0, 743.0, 18.0], PLVEbjkUEW, 5709912]
