[3300, 2550]
[paragraph, [358.0, 282.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 334.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 387.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 439.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 492.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 544.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 597.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 649.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 702.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 754.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 807.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 859.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 912.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 964.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1017.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1069.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1122.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1174.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1227.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1279.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1332.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1384.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1437.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1489.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1542.0, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[paragraph, [358.0, 1594.5, 1913.0, 52.5], shoonya_3sD5KR4V73IAF9, 5720563]
[figure-caption, [1938.0, 2180.0, 386.0, 52.5], M1J7R8R2kP, 5720563]
[figure-caption, [1591.0, 2196.0, 210.0, 52.5], uMg8bOTmkG, 5720563]
[figure-caption, [403.0, 2197.0, 273.0, 52.5], oF8dXkcAkY, 5720563]
[figure-caption, [897.0, 2198.0, 183.0, 52.5], QXgum7Z3Qx, 5720563]
[figure-caption, [699.0, 2204.0, 149.0, 52.5], Sg2y3xeERu, 5720563]
[figure-caption, [1179.0, 2205.0, 395.0, 52.5], IFR09b1Rpj, 5720563]
[paragraph, [349.0, 2305.0, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2357.5, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2410.0, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2462.5, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2515.0, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2567.5, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2620.0, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2672.5, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2725.0, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2777.5, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2830.0, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
[paragraph, [349.0, 2882.5, 1930.0, 52.5], shoonya_2sC3TY5XSPR1RP, 5720563]
