[1787, 1218]
[headline, [266.0, 277.0, 657.0, 37.5], shoonya_5s8Y550TO4JIND, 5650970]
[author, [836.0, 377.0, 258.0, 36.0], ukw3933rGs, 5650970]
[paragraph, [106.0, 479.0, 993.0, 36.0], shoonya_2s0XKRH730B3KA, 5650970]
[paragraph, [106.0, 515.0, 993.0, 36.0], shoonya_2s0XKRH730B3KA, 5650970]
[paragraph, [106.0, 551.0, 993.0, 36.0], shoonya_2s0XKRH730B3KA, 5650970]
[paragraph, [106.0, 587.0, 993.0, 36.0], shoonya_2s0XKRH730B3KA, 5650970]
[paragraph, [107.0, 641.0, 995.0, 36.0], shoonya_3s9M68ER86HLZI, 5650970]
[paragraph, [107.0, 677.0, 995.0, 36.0], shoonya_3s9M68ER86HLZI, 5650970]
[paragraph, [107.0, 713.0, 995.0, 36.0], shoonya_3s9M68ER86HLZI, 5650970]
[paragraph, [107.0, 749.0, 995.0, 36.0], shoonya_3s9M68ER86HLZI, 5650970]
[paragraph, [107.0, 785.0, 995.0, 36.0], shoonya_3s9M68ER86HLZI, 5650970]
[paragraph, [107.0, 843.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 879.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 915.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 951.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 987.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 1023.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 1059.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 1095.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 1131.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 1167.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [107.0, 1203.0, 999.0, 36.0], shoonya_1sF2Z7ZXMML31V, 5650970]
[paragraph, [119.0, 1249.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1285.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1321.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1357.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1393.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1429.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1465.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [119.0, 1501.0, 988.0, 36.0], shoonya_0sTSNZK70ZYB3O, 5650970]
[paragraph, [117.0, 1534.0, 997.0, 36.0], Z4UALyUo4_, 5650970]
[paragraph, [117.0, 1570.0, 997.0, 36.0], Z4UALyUo4_, 5650970]
[folio, [448.0, 1649.0, 241.0, 36.0], shoonya_4s9FQB55P1YMPU, 5650970]
