[1267, 753]
[folio, [297.0, 76.0, 147.0, 18.0], shoonya_2sCBFT0BQ2JVTO, 5700277]
[section-title, [312.0, 125.0, 125.0, 30.0], aNWrqGPV9Q, 5700277]
[paragraph, [73.0, 161.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 179.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 197.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 215.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 233.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 251.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 269.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 287.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 305.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 323.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 341.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 359.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 377.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 395.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 413.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 431.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 449.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 467.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 485.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 503.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 521.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 539.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 557.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 575.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 593.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 611.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 629.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 647.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 665.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 683.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 701.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 719.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 737.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 755.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 773.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 791.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [73.0, 809.0, 600.0, 18.0], shoonya_1sRLDAONG4EONH, 5700277]
[paragraph, [77.0, 847.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 865.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 883.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 901.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 919.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 937.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 955.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 973.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 991.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1009.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1027.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1045.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1063.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1081.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1099.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1117.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1135.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
[paragraph, [77.0, 1153.0, 597.0, 18.0], shoonya_0s67ZF65AU2295, 5700277]
