[915, 612]
[folio, [268.0, 30.0, 121.0, 18.0], shoonya_4sQG7Z2AJLBLFQ, 6460811]
[folio, [268.0, 48.0, 121.0, 18.0], shoonya_4sQG7Z2AJLBLFQ, 6460811]
[paragraph, [98.0, 91.0, 488.0, 18.0], shoonya_2sVBZSLIY4RA5J, 6460811]
[paragraph, [98.0, 109.0, 488.0, 18.0], shoonya_2sVBZSLIY4RA5J, 6460811]
[paragraph, [98.0, 127.0, 488.0, 18.0], shoonya_2sVBZSLIY4RA5J, 6460811]
[paragraph, [77.0, 159.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 177.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 195.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 213.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 231.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 249.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 267.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 285.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 303.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 321.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 339.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 357.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 375.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 393.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 411.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 429.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [77.0, 447.0, 513.0, 18.0], shoonya_1s78Q7NQ36J34J, 6460811]
[paragraph, [88.0, 474.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 492.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 510.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 528.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 546.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 564.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 582.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 600.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 618.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 636.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 654.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 672.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 690.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 708.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 726.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[paragraph, [88.0, 744.0, 501.0, 18.0], shoonya_0sJLZ8N460QRJ3, 6460811]
[jumpline, [308.0, 778.0, 74.0, 18.0], 53ud9x2IFt, 6460811]
