[1637, 1070]
[headline, [166.0, 96.0, 678.0, 37.5], -uvAzBJrf7, 5654313]
[headline, [166.0, 133.5, 678.0, 37.5], -uvAzBJrf7, 5654313]
[headline, [166.0, 171.0, 678.0, 37.5], -uvAzBJrf7, 5654313]
[paragraph, [120.0, 240.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 276.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 312.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 348.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 384.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 420.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 456.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 492.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 528.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 564.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 600.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 636.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 672.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 708.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 744.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 780.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 816.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 852.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 888.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 924.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 960.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 996.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1032.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1068.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1104.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1140.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1176.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1212.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1248.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1284.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1320.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1356.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1392.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
[paragraph, [120.0, 1428.0, 816.0, 36.0], K44BF5Vqm8, 5654313]
