[1492, 1000]
[folio, [449.0, 157.0, 128.0, 18.0], mGxBQ24EKS, 5719958]
[paragraph, [140.0, 208.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 226.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 244.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 262.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 280.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 298.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 316.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 334.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 352.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 370.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 388.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 406.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 424.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 442.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 460.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 478.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 496.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 514.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 532.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 550.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 568.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 586.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 604.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 622.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 640.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [140.0, 658.0, 752.0, 18.0], shoonya_0sV97VFOL23S34, 5719958]
[paragraph, [149.0, 684.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 702.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 720.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 738.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 756.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 774.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 792.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 810.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 828.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [149.0, 846.0, 738.0, 18.0], VN4DgZwUVo, 5719958]
[paragraph, [146.0, 880.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 898.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 916.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 934.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 952.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 970.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 988.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1006.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1024.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1042.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1060.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1078.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1096.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1114.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [146.0, 1132.0, 743.0, 18.0], t11I0pQpGq, 5719958]
[paragraph, [151.0, 1155.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1173.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1191.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1209.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1227.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1245.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1263.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[paragraph, [151.0, 1281.0, 742.0, 18.0], zqpHWteXVj, 5719958]
[folio, [772.0, 1315.0, 38.0, 18.0], i8__pgDuGo, 5719958]
