[2806, 1984]
[section-title, [431.0, 94.0, 1130.0, 79.5], nzf7HK3y9S, 5698596]
[paragraph, [353.0, 197.0, 1405.0, 46.5], shoonya_6s1LDRZFD6YULV, 5698596]
[paragraph, [353.0, 243.5, 1405.0, 46.5], shoonya_6s1LDRZFD6YULV, 5698596]
[paragraph, [353.0, 290.0, 1405.0, 46.5], shoonya_6s1LDRZFD6YULV, 5698596]
[ordered-list, [211.0, 344.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 390.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 437.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 483.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 530.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 576.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 623.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 669.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 716.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 762.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 809.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 855.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 902.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 948.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 995.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 1041.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 1088.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 1134.5, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[ordered-list, [211.0, 1181.0, 1544.0, 46.5], shoonya_0sRVB2FACDJ7LI, 5698596]
[paragraph, [324.0, 1251.0, 1447.0, 46.5], shoonya_8s9UKC570XLZR6, 5698596]
[paragraph, [324.0, 1297.5, 1447.0, 46.5], shoonya_8s9UKC570XLZR6, 5698596]
