[1031, 622]
[section-title, [262.0, 70.0, 107.0, 30.0], shoonya_3s27VQLH70KUH6, 5709661]
[paragraph, [69.0, 110.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 128.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 146.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 164.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 182.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 200.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 218.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 236.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 254.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 272.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 290.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 308.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 326.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 344.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 362.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 380.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 398.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 416.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 434.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 452.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 470.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 488.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 506.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 524.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 542.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 560.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 578.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [69.0, 596.0, 482.0, 18.0], shoonya_2sN9Q6M5VPI7XU, 5709661]
[paragraph, [68.0, 619.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 637.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 655.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 673.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 691.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 709.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 727.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[paragraph, [68.0, 745.0, 479.0, 18.0], shoonya_0sEL83LEVG49FF, 5709661]
[footnote, [69.0, 796.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 814.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 832.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 850.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 868.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 886.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 904.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 922.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
[footnote, [69.0, 940.0, 479.0, 18.0], shoonya_1sIKGN2K4JU3UU, 5709661]
