[2484, 1767]
[paragraph, [339.0, 383.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 419.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 455.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 491.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 527.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 563.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 599.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 635.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 671.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 707.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 743.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 779.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 815.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 851.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 887.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 923.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 959.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 995.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1031.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1067.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1103.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1139.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1175.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1211.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1247.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1283.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1319.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1355.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1391.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1427.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1463.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1499.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1535.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1571.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1607.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1643.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1679.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1715.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1751.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1787.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1823.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1859.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1895.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1931.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [339.0, 1967.0, 1247.0, 36.0], shoonya_0sFWX2VIROT9KA, 5753315]
[paragraph, [336.0, 2017.0, 1194.0, 36.0], rulu5QTGHU, 5753315]
[paragraph, [336.0, 2053.0, 1194.0, 36.0], rulu5QTGHU, 5753315]
[paragraph, [336.0, 2089.0, 1194.0, 36.0], rulu5QTGHU, 5753315]
