[1634, 1040]
[folio, [434.0, 95.0, 181.0, 36.0], shoonya_1sDYBDIYO94LRG, 5731152]
[paragraph, [87.0, 165.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 201.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 237.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 273.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 309.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 345.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 381.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 417.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 453.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 489.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 525.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 561.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 597.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 633.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 669.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 705.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 741.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 777.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 813.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 849.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 885.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 921.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 957.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 993.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1029.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1065.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1101.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1137.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1173.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1209.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1245.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1281.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [87.0, 1317.0, 868.0, 36.0], shoonya_0sMCB3AIVV4WAM, 5731152]
[paragraph, [95.0, 1394.0, 848.0, 36.0], shoonya_3sNJOIB1XPJ5BP, 5731152]
[paragraph, [95.0, 1430.0, 848.0, 36.0], shoonya_3sNJOIB1XPJ5BP, 5731152]
[paragraph, [95.0, 1466.0, 848.0, 36.0], shoonya_3sNJOIB1XPJ5BP, 5731152]
[paragraph, [95.0, 1502.0, 848.0, 36.0], shoonya_3sNJOIB1XPJ5BP, 5731152]
