[2200, 1700]
[paragraph, [259.0, 216.0, 1108.0, 36.0], shoonya_5sXCY3L3VSD9BF, 5651504]
[paragraph, [259.0, 252.0, 1108.0, 36.0], shoonya_5sXCY3L3VSD9BF, 5651504]
[paragraph, [259.0, 288.0, 1108.0, 36.0], shoonya_5sXCY3L3VSD9BF, 5651504]
[paragraph, [345.0, 348.0, 952.0, 36.0], vCzf2Z5S4Q, 5651504]
[paragraph, [347.0, 411.0, 405.0, 36.0], shoonya_2sMQIZS6ZUF6VH, 5651504]
[paragraph, [288.0, 470.0, 1009.0, 36.0], shoonya_1sF8HWPDH62WQV, 5651504]
[paragraph, [288.0, 506.0, 1009.0, 36.0], shoonya_1sF8HWPDH62WQV, 5651504]
[paragraph, [288.0, 542.0, 1009.0, 36.0], shoonya_1sF8HWPDH62WQV, 5651504]
[paragraph, [288.0, 578.0, 1009.0, 36.0], shoonya_1sF8HWPDH62WQV, 5651504]
[paragraph, [288.0, 614.0, 1009.0, 36.0], shoonya_1sF8HWPDH62WQV, 5651504]
[paragraph, [288.0, 650.0, 1009.0, 36.0], shoonya_1sF8HWPDH62WQV, 5651504]
[paragraph, [214.0, 714.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 750.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 786.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 822.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 858.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 894.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 930.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [214.0, 966.0, 1125.0, 36.0], shoonya_0s1SSTU5XL25JR, 5651504]
[paragraph, [245.0, 1016.0, 1084.0, 36.0], shoonya_3sT4REBW9IB6KP, 5651504]
[paragraph, [245.0, 1052.0, 1084.0, 36.0], shoonya_3sT4REBW9IB6KP, 5651504]
[paragraph, [245.0, 1088.0, 1084.0, 36.0], shoonya_3sT4REBW9IB6KP, 5651504]
[paragraph, [245.0, 1124.0, 1084.0, 36.0], shoonya_3sT4REBW9IB6KP, 5651504]
[paragraph, [245.0, 1160.0, 1084.0, 36.0], shoonya_3sT4REBW9IB6KP, 5651504]
[paragraph, [203.0, 1208.0, 1129.0, 36.0], p3nPGqXuuh, 5651504]
[paragraph, [203.0, 1244.0, 1129.0, 36.0], p3nPGqXuuh, 5651504]
[paragraph, [203.0, 1280.0, 1129.0, 36.0], p3nPGqXuuh, 5651504]
[paragraph, [203.0, 1316.0, 1129.0, 36.0], p3nPGqXuuh, 5651504]
[paragraph, [203.0, 1352.0, 1129.0, 36.0], p3nPGqXuuh, 5651504]
[paragraph, [227.0, 1399.0, 1131.0, 36.0], opVN0VGn-O, 5651504]
[paragraph, [227.0, 1435.0, 1131.0, 36.0], opVN0VGn-O, 5651504]
[paragraph, [227.0, 1471.0, 1131.0, 36.0], opVN0VGn-O, 5651504]
[paragraph, [241.0, 1518.0, 1089.0, 36.0], shoonya_6s4Q1IDVJQIG34, 5651504]
[paragraph, [241.0, 1554.0, 1089.0, 36.0], shoonya_6s4Q1IDVJQIG34, 5651504]
[paragraph, [241.0, 1590.0, 1089.0, 36.0], shoonya_6s4Q1IDVJQIG34, 5651504]
[paragraph, [241.0, 1626.0, 1089.0, 36.0], shoonya_6s4Q1IDVJQIG34, 5651504]
[paragraph, [241.0, 1662.0, 1089.0, 36.0], shoonya_6s4Q1IDVJQIG34, 5651504]
[paragraph, [241.0, 1698.0, 1089.0, 36.0], shoonya_6s4Q1IDVJQIG34, 5651504]
[paragraph, [324.0, 1766.0, 1003.0, 36.0], XeOpvR-DfG, 5651504]
[paragraph, [324.0, 1802.0, 1003.0, 36.0], XeOpvR-DfG, 5651504]
[folio, [386.0, 1864.0, 112.0, 36.0], KKu3FKfUZU, 5651504]
