[1337, 839]
[headline, [244.0, 76.0, 349.0, 25.5], wNvHVERtIC, 5769936]
[headline, [244.0, 101.5, 349.0, 25.5], wNvHVERtIC, 5769936]
[author, [238.0, 147.0, 343.0, 18.0], RQ3oF36iD_, 5769936]
[author, [238.0, 165.0, 343.0, 18.0], RQ3oF36iD_, 5769936]
[paragraph, [423.0, 235.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 253.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 271.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 289.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 307.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 325.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 343.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 361.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 379.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 397.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 415.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 433.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 451.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 469.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 487.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 505.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 523.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 541.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 559.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 577.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 595.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 613.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 631.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 649.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 667.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 685.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 703.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 721.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 739.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 757.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 775.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 793.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 811.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 829.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 847.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 865.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 883.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 901.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 919.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 937.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 955.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 973.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 991.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 1009.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 1027.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [423.0, 1045.0, 338.0, 18.0], hprqb4HJzK, 5769936]
[paragraph, [64.0, 240.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 258.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 276.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 294.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 312.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 330.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 348.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 366.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 384.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 402.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 420.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 438.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 456.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 474.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 492.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 510.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 528.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 546.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 564.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 582.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 600.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [64.0, 618.0, 348.0, 18.0], YB3hxUT0Q-, 5769936]
[paragraph, [62.0, 654.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 672.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 690.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 708.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 726.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 744.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 762.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 780.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 798.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [62.0, 816.0, 353.0, 18.0], eTdIywxcQX, 5769936]
[paragraph, [57.0, 846.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 864.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 882.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 900.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 918.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 936.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 954.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 972.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 990.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 1008.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 1026.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 1044.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
[paragraph, [57.0, 1062.0, 359.0, 18.0], OEg2xOXt3t, 5769936]
