[1754, 1241]
[paragraph, [208.0, 131.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 167.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 203.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 239.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 275.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 311.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 347.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 383.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 419.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 455.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 491.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 527.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 563.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [208.0, 599.0, 897.0, 36.0], shoonya_0s327Q43IMBBCS, 6471009]
[paragraph, [212.0, 660.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 696.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 732.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 768.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 804.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 840.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 876.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 912.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 948.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 984.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 1020.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [212.0, 1056.0, 887.0, 36.0], shoonya_2sLJ7W93H4T2BY, 6471009]
[paragraph, [216.0, 1118.0, 885.0, 36.0], shoonya_5sZ4BUJQ7CP1TL, 6471009]
[paragraph, [216.0, 1154.0, 885.0, 36.0], shoonya_5sZ4BUJQ7CP1TL, 6471009]
[paragraph, [216.0, 1190.0, 885.0, 36.0], shoonya_5sZ4BUJQ7CP1TL, 6471009]
[paragraph, [216.0, 1226.0, 885.0, 36.0], shoonya_5sZ4BUJQ7CP1TL, 6471009]
[paragraph, [216.0, 1262.0, 885.0, 36.0], shoonya_5sZ4BUJQ7CP1TL, 6471009]
[paragraph, [216.0, 1298.0, 885.0, 36.0], shoonya_5sZ4BUJQ7CP1TL, 6471009]
[paragraph, [213.0, 1353.0, 886.0, 36.0], shoonya_4sOUDH0G2LLY97, 6471009]
[paragraph, [213.0, 1389.0, 886.0, 36.0], shoonya_4sOUDH0G2LLY97, 6471009]
[paragraph, [213.0, 1425.0, 886.0, 36.0], shoonya_4sOUDH0G2LLY97, 6471009]
[paragraph, [213.0, 1461.0, 886.0, 36.0], shoonya_4sOUDH0G2LLY97, 6471009]
[footnote, [215.0, 1540.0, 879.0, 36.0], shoonya_6sR53PZNDMGWOJ, 6471009]
