[1818, 1374]
[folio, [489.0, 112.0, 396.0, 36.0], gOj8rCuhrC, 5683350]
[paragraph, [112.0, 181.0, 560.0, 36.0], six8A-9tIu, 5683350]
[paragraph, [112.0, 217.0, 560.0, 36.0], six8A-9tIu, 5683350]
[paragraph, [112.0, 253.0, 560.0, 36.0], six8A-9tIu, 5683350]
[paragraph, [698.0, 183.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 219.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 255.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 291.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 327.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 363.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 399.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 435.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 471.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 507.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 543.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 579.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 615.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 651.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 687.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 723.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 759.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 795.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 831.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 867.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 903.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 939.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 975.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1011.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1047.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1083.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1119.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1155.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1191.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1227.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1263.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1299.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1335.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1371.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1407.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1443.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1479.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1515.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1551.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1587.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [698.0, 1623.0, 564.0, 36.0], shoonya_1s4A9URPG03OWH, 5683350]
[paragraph, [264.0, 355.0, 285.0, 36.0], a9UcmvT9IN, 5683350]
[paragraph, [264.0, 391.0, 285.0, 36.0], a9UcmvT9IN, 5683350]
[paragraph, [150.0, 440.0, 247.0, 36.0], y63AixpEnw, 5683350]
[paragraph, [109.0, 648.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 684.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 720.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 756.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 792.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 828.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 864.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 900.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 936.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [109.0, 972.0, 569.0, 36.0], shoonya_2s4CQIE56WTJXW, 5683350]
[paragraph, [112.0, 1038.0, 563.0, 36.0], shoonya_5s652F11IDGF3M, 5683350]
[paragraph, [112.0, 1074.0, 563.0, 36.0], shoonya_5s652F11IDGF3M, 5683350]
[paragraph, [112.0, 1110.0, 563.0, 36.0], shoonya_5s652F11IDGF3M, 5683350]
[paragraph, [153.0, 1164.0, 369.0, 36.0], shoonya_3sVJ5F0K18IE13, 5683350]
[paragraph, [155.0, 1207.0, 204.0, 36.0], shoonya_4sTJXL1P2EPD2C, 5683350]
[paragraph, [114.0, 1249.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1285.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1321.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1357.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1393.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1429.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1465.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1501.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1537.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1573.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1609.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1645.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [114.0, 1681.0, 565.0, 36.0], shoonya_0sM42IM0ZXOCJ7, 5683350]
[paragraph, [745.0, 1674.0, 406.0, 36.0], _Edvf_147m, 5683350]
