[567, 454]
[chapter-title, [50.0, 43.0, 219.0, 30.0], O4XZLHt22Q, 6460039]
[paragraph, [37.0, 268.0, 379.0, 18.0], shoonya_1s6USMJFQPR6R4, 6460039]
[paragraph, [37.0, 286.0, 379.0, 18.0], shoonya_1s6USMJFQPR6R4, 6460039]
[paragraph, [33.0, 314.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 332.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 350.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 368.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 386.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 404.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 422.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 440.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [33.0, 458.0, 192.0, 18.0], shoonya_3s1TFFED4E1KE4, 6460039]
[paragraph, [224.0, 315.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 333.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 351.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 369.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 387.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 405.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 423.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 441.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [224.0, 459.0, 194.0, 18.0], 8OpfThXxeH, 6460039]
[paragraph, [39.0, 484.0, 189.0, 18.0], kyNskXcWk7, 6460039]
[paragraph, [239.0, 487.0, 184.0, 18.0], OeSIJ7_pvj, 6460039]
[folio, [192.0, 514.0, 81.0, 18.0], BYqOd-Rx9e, 6460039]
