[1230, 750]
[folio, [107.0, 30.0, 260.0, 18.0], uc9aegYA-f, 6469291]
[paragraph, [106.0, 90.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 108.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 126.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 144.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 162.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 180.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 198.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 216.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 234.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 252.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 270.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 288.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 306.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 324.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 342.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 360.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 378.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 396.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 414.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 432.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 450.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 468.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 486.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 504.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [106.0, 522.0, 595.0, 18.0], shoonya_0sDPL9F9ED10VI, 6469291]
[paragraph, [102.0, 544.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 562.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 580.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 598.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 616.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 634.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 652.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 670.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 688.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 706.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 724.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 742.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 760.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 778.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [102.0, 796.0, 598.0, 18.0], o2rhNiX1bO, 6469291]
[paragraph, [109.0, 832.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 850.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 868.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 886.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 904.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 922.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 940.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 958.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 976.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 994.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 1012.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 1030.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 1048.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 1066.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 1084.0, 582.0, 18.0], ighAmvCEuV, 6469291]
[paragraph, [109.0, 1102.0, 582.0, 18.0], ighAmvCEuV, 6469291]
